,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
172,Spylon Kernel,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,18,False,spylon-kernel,vericast/spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,,2016-11-21 02:23:14.000,2024-01-11 09:22:04.000000,2018-09-20 15:43:57,188.0,,33.0,12.0,29.0,22.0,20.0,181.0,2017-03-05 04:26:44.000,0.2.0,,4172.0,8.0,152.0,152.0,6.0,https://pypi.org/project/spylon-kernel,2647.0,https://anaconda.org/conda-forge/spylon-kernel,2023-06-16 13:20:41.310,128101.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
173,jupyverse,A Jupyter server based on FastAPI.,https://github.com/jupyter-server/jupyverse,,notebook-environments,18,False,jupyverse,jupyter-server/jupyverse,conda-forge/fps-auth,https://github.com/jupyter-server/jupyverse,,2021-07-23 14:20:02.000,2024-02-13 07:58:39.000000,2024-02-13 07:58:36,655.0,17.0,25.0,9.0,320.0,19.0,44.0,179.0,2024-01-02 11:09:14.000,0.4.2,5341.0,1935.0,46.0,2.0,2.0,12.0,https://pypi.org/project/jupyverse,704.0,https://anaconda.org/conda-forge/fps-auth,2024-01-02 12:50:50.347,23956.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
174,SciJava Kernel,[RETIRED] Try IJava or BeakerX.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,18,False,,scijava/scijava-jupyter-kernel,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,Apache-2.0,2017-01-31 01:16:24.000,2023-06-16 13:18:35.621000,2022-02-03 17:25:03,404.0,,41.0,21.0,22.0,,80.0,177.0,2017-06-02 21:19:27.000,0.5.0,107.0,1227.0,15.0,,,9.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2023-06-16 13:18:35.621,100540.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
175,ipysigma,A Jupyter widget using sigma.js to render interactive networks.,https://github.com/medialab/ipysigma,,widgets,18,True,ipysigma,Yomguithereal/ipysigma,,https://github.com/medialab/ipysigma,MIT,2018-06-25 20:03:21.000,2023-10-20 11:44:29.000000,2023-10-20 08:08:59,359.0,,13.0,5.0,18.0,47.0,154.0,155.0,2023-01-10 16:02:53.000,0.24.0,,1055.0,2.0,26.0,26.0,6.0,https://pypi.org/project/ipysigma,706.0,,,,3.0,,,,,,,,ipysigma,https://www.npmjs.com/package/ipysigma,349.0,,,,medialab/ipysigma,,,,,,,,,,,
176,ipyregulartable,"High performance, editable, stylable datagrids in jupyter and jupyterlab.",https://github.com/finos/ipyregulartable,,widgets,18,True,ipyregulartable,jpmorganchase/ipyregulartable,conda-forge/ipyregulartable,https://github.com/finos/ipyregulartable,Apache-2.0,2020-06-15 21:45:08.000,2024-02-05 14:45:34.000000,2024-02-05 14:45:33,238.0,7.0,15.0,8.0,92.0,10.0,17.0,97.0,,,,73492.0,6.0,13.0,13.0,5.0,https://pypi.org/project/ipyregulartable,154.0,https://anaconda.org/conda-forge/ipyregulartable,2023-06-16 19:23:44.012,5784.0,3.0,,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,73190.0,,,,finos/ipyregulartable,-7.0,,,,,,,,,,
177,nbzip,Zips and downloads all the contents of a jupyter notebook.,https://github.com/data-8/nbzip,,jupyter-extensions,18,False,nbzip,data-8/nbzip,,https://github.com/data-8/nbzip,Apache-2.0,2017-09-30 17:32:31.000,2019-11-22 08:47:26.000000,2019-11-22 08:47:25,43.0,,18.0,8.0,12.0,9.0,5.0,85.0,2018-08-10 16:52:09.000,0.1.0,,11798.0,4.0,394.0,390.0,6.0,https://pypi.org/project/nbzip,11798.0,,,,3.0,,2018-08-10 16:52:09.000,4.0,,,,,,,,,,,,,,,,,,,,,,
178,SudoSpawner,Spawn JupyterHub single-user servers with sudo.,https://github.com/jupyterhub/sudospawner,,hub-spawners,18,True,sudospawner,jupyterhub/sudospawner,,https://github.com/jupyterhub/sudospawner,BSD-3-Clause,2014-11-24 23:21:36.000,2023-12-14 11:31:09.000000,2023-12-14 11:31:09,119.0,3.0,39.0,11.0,37.0,17.0,22.0,49.0,2018-06-19 13:50:35.000,0.5.2,,1012.0,8.0,68.0,64.0,15.0,https://pypi.org/project/sudospawner,1012.0,,,,3.0,,2018-06-19 13:50:35.000,4.0,,,,,,,,,,,,,,,,,,,,,,
179,JupyterWith,Declarative and reproducible Jupyter environments - powered by Nix.,https://github.com/tweag/jupyenv,,notebook-tools,17,True,,tweag/jupyterWith,,https://github.com/tweag/jupyenv,MIT,2018-12-18 10:10:58.000,2024-02-11 00:09:55.000000,2023-10-17 14:42:45,580.0,,118.0,33.0,340.0,40.0,151.0,571.0,2023-01-31 21:35:49.000,0.1.0,,,1.0,,,37.0,,,,,,3.0,,,,,,,,,,,,,,tweag/jupyenv,,,,,,,,,,,
180,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,17,False,ansible-kernel,ansible/ansible-jupyter-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,,2018-06-26 14:28:02.000,2023-06-16 16:15:33.557000,2022-02-11 15:18:23,212.0,,56.0,21.0,51.0,17.0,29.0,526.0,,,,1360.0,2.0,12.0,12.0,10.0,https://pypi.org/project/ansible-kernel,114.0,https://anaconda.org/conda-forge/ansible-kernel,2023-06-16 16:15:33.557,14944.0,3.0,benthomasson/ansible-jupyter-kernel,,,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66695.0,,,,,,,,,,,,,,,,,,
181,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,17,False,nbtutor,lgpage/nbtutor,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,,2016-11-07 14:08:25.000,2024-02-13 21:20:20.000000,2023-04-14 07:14:04,272.0,,39.0,20.0,112.0,13.0,24.0,448.0,,,,1795.0,4.0,38.0,38.0,4.0,https://pypi.org/project/nbtutor,135.0,https://anaconda.org/conda-forge/nbtutor,2023-06-16 13:17:46.107,142844.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
182,Kernel Detection,An Jupyter plugin to enable the automatic detection of conda and virtualenv environments as kernels.,https://github.com/Cadair/jupyter_environment_kernels,,kernels,17,False,environment_kernels,Cadair/jupyter_environment_kernels,,https://github.com/Cadair/jupyter_environment_kernels,BSD-2-Clause,2015-01-06 14:50:00.000,2022-11-23 11:42:58.000000,2022-11-23 11:42:26,83.0,,17.0,6.0,12.0,7.0,23.0,149.0,2022-11-23 11:42:59.000,1.2.0,,19457.0,3.0,5.0,5.0,8.0,https://pypi.org/project/environment_kernels,19457.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
183,nb_conda,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,17,False,,Anaconda-Platform/nb_conda,conda-forge/nb_conda,https://github.com/Anaconda-Platform/nb_conda,BSD-3-Clause,2015-12-09 23:12:58.000,2024-01-09 08:46:24.791000,2020-09-11 21:06:00,158.0,,30.0,12.0,37.0,35.0,28.0,138.0,,,,15284.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2024-01-09 08:46:24.791,611377.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
184,JupyterLab IFrame,View html as an embedded iframe in JupyterLab.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,17,True,jupyterlab_iframe,timkpaine/jupyterlab_iframe,conda-forge/jupyterlab_iframe,https://github.com/timkpaine/jupyterlab_iframe,Apache-2.0,2018-03-12 02:34:47.000,2024-02-06 00:03:36.000000,2024-02-06 00:03:35,352.0,6.0,17.0,5.0,91.0,4.0,64.0,101.0,2023-07-16 16:12:50.000,0.5.0,,2121.0,18.0,6.0,6.0,5.0,https://pypi.org/project/jupyterlab_iframe,1200.0,https://anaconda.org/conda-forge/jupyterlab_iframe,2023-07-16 18:49:15.196,27910.0,2.0,,,,,,,,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,224.0,,,,,,,,,,,,,,,
185,Altair Viewer,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,17,True,altair_viewer,altair-viz/altair_viewer,conda-forge/altair_viewer,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2023-06-16 19:17:31.930000,2023-05-02 16:09:30,149.0,,11.0,7.0,48.0,8.0,5.0,80.0,2021-11-06 14:18:45.000,0.4.0,,28457.0,7.0,15.0,,3.0,https://pypi.org/project/altair_viewer,26833.0,https://anaconda.org/conda-forge/altair_viewer,2023-06-16 19:17:31.930,79609.0,3.0,,2021-11-06 14:16:09.000,15.0,,,,,,,,,,,,,,,,,,,,,,
186,sphinxcontrib.jupyter,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,False,sphinxcontrib-jupyter,QuantEcon/sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,BSD-3-Clause,2017-10-12 04:04:05.000,2022-02-09 08:46:28.000000,2020-06-18 03:28:01,269.0,,23.0,10.0,159.0,88.0,93.0,74.0,2020-06-18 03:30:24.000,0.5.10,,948.0,17.0,38.0,38.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,948.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
187,First Use Authenticator,JupyterHub Authenticator that lets users set passwords when they first log in.,https://github.com/jupyterhub/firstuseauthenticator,,hub-auth,17,True,jupyterhub-firstuseauthenticator,jupyterhub/firstuseauthenticator,,https://github.com/jupyterhub/firstuseauthenticator,BSD-3-Clause,2016-10-25 03:09:14.000,2023-06-30 06:50:09.000000,2023-06-30 06:50:08,100.0,,28.0,5.0,29.0,9.0,17.0,47.0,2021-10-28 11:35:32.000,1.0.0,,5603.0,8.0,99.0,96.0,12.0,https://pypi.org/project/jupyterhub-firstuseauthenticator,5603.0,,,,2.0,,2021-10-28 11:35:32.000,3.0,,,,,,,,,,,,,,,,,,,,,,
188,geonotebook,A Jupyter notebook extension for geospatial visualization and analysis.,https://github.com/OpenGeoscience/geonotebook,,widgets,16,False,,OpenGeoscience/geonotebook,,https://github.com/OpenGeoscience/geonotebook,Apache-2.0,2016-07-26 19:48:45.000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00,647.0,,137.0,68.0,90.0,37.0,46.0,1085.0,,,,1442.0,,,,9.0,,,,,,3.0,geonotebook/geonotebook,,,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,9.0,131300.0,,,,,,,,,,,,,,,,,,
189,JupyterLab Vim,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,16,False,,jwkvam/jupyterlab-vim,,https://github.com/jwkvam/jupyterlab-vim,MIT,2017-12-02 21:16:38.000,2023-04-05 12:21:41.000000,2019-07-16 04:37:36,60.0,,96.0,20.0,49.0,63.0,45.0,958.0,2019-07-16 04:35:55.953,0.11.0,,162.0,14.0,5.0,3.0,8.0,,,,,,3.0,,,,,,,,jupyterlab_vim,https://www.npmjs.com/package/jupyterlab_vim,162.0,2019-07-16 04:35:55.953,2.0,,,,,,,,,,,,,
190,Wolfram Kernel,Wolfram Language kernel for Jupyter notebooks.,https://github.com/WolframResearch/WolframLanguageForJupyter,,kernels,16,False,,WolframResearch/WolframLanguageForJupyter,,https://github.com/WolframResearch/WolframLanguageForJupyter,MIT,2019-01-18 19:37:06.000,2023-12-22 00:50:25.000000,2022-02-19 09:55:04,143.0,,113.0,47.0,41.0,37.0,73.0,947.0,,,9097.0,162.0,3.0,,,7.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
191,jupyter-tabnine,Autocompletion with Deep Learning on Jupyter Notebook.,https://github.com/codota/jupyter-tabnine,,jupyter-extensions,16,False,jupyter-tabnine,codota/jupyter-tabnine,,https://github.com/codota/jupyter-tabnine,MIT,2019-09-07 00:30:49.000,2023-02-05 13:08:34.000000,2021-08-23 11:44:08,105.0,,124.0,18.0,16.0,47.0,28.0,787.0,2021-08-23 11:45:07.000,1.2.3,,3957.0,8.0,,,10.0,https://pypi.org/project/jupyter-tabnine,3957.0,,,,3.0,,2021-08-23 11:45:07.000,,,,,,,,,,,,,,,,,,,,,,,
192,StickyLand,Break the linear presentation of Jupyter Notebooks with sticky cells!.,https://github.com/xiaohk/stickyland,,lab-extensions,16,True,jupyterlab-stickyland,xiaohk/stickyland,,https://github.com/xiaohk/stickyland,BSD-3-Clause,2021-11-02 15:25:33.000,2023-12-24 03:19:25.000000,2023-12-24 03:18:30,135.0,3.0,32.0,9.0,2.0,1.0,13.0,489.0,2023-12-24 03:28:31.000,0.2.4,17.0,626.0,2.0,4.0,4.0,2.0,https://pypi.org/project/jupyterlab-stickyland,610.0,,,,3.0,,,,,,,,jupyterlab-stickyland,https://www.npmjs.com/package/jupyterlab-stickyland,16.0,,,,,,,,,,,,,,,
193,JupyterLab SideCar,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,16,True,sidecar,jupyter-widgets/jupyterlab-sidecar,conda-forge/sidecar,https://github.com/jupyter-widgets/jupyterlab-sidecar,BSD-3-Clause,2018-03-26 09:23:58.000,2023-08-30 18:18:16.177000,2023-08-30 15:29:37,94.0,,39.0,15.0,76.0,22.0,13.0,240.0,2023-08-30 15:30:33.000,0.7.0,,6982.0,5.0,7.0,7.0,16.0,https://pypi.org/project/sidecar,6081.0,https://anaconda.org/conda-forge/sidecar,2023-08-30 18:18:16.177,22056.0,3.0,,,,,,,,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,305.0,,,,,,,,,,,,,,,
194,jupyterlab-interactive-dashboard-editor,A drag-and-drop dashboard editor for JupyterLab.,https://github.com/jupytercalpoly/jupyterlab-interactive-dashboard-editor,,lab-extensions,16,False,jupyterlab-interactive-dashboard-editor,jupytercalpoly/jupyterlab-interactive-dashboard-editor,conda-forge/jupyterlab-interactive-dashboard-editor,https://github.com/jupytercalpoly/jupyterlab-interactive-dashboard-editor,BSD-3-Clause,2020-06-17 20:39:00.000,2023-06-16 19:25:52.504000,2022-04-13 05:12:13,318.0,,26.0,9.0,113.0,32.0,12.0,212.0,2021-04-01 19:36:39.000,0.4.0,,155.0,5.0,5.0,3.0,11.0,https://pypi.org/project/jupyterlab-interactive-dashboard-editor,71.0,https://anaconda.org/conda-forge/jupyterlab-interactive-dashboard-editor,2023-06-16 19:25:52.504,1812.0,3.0,,2021-04-01 19:36:39.000,,,,,,jupyterlab-interactive-dashboard-editor,https://www.npmjs.com/package/jupyterlab-interactive-dashboard-editor,30.0,2021-01-27 19:15:26.231,2.0,,,,,,,,,,,,,
195,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,16,True,,jupyterlab/jupyterlab-data-explorer,,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2023-08-08 06:45:57.000000,2023-08-08 06:45:57,427.0,,36.0,27.0,58.0,,93.0,176.0,,,,31.0,,14.0,14.0,10.0,,,,,,3.0,,,,,,,,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,31.0,,,,,,,,,,,,,,,
196,Spark Monitor,Monitor Apache Spark from Jupyter Notebook.,https://github.com/krishnan-r/sparkmonitor,,jupyter-extensions,16,False,sparkmonitor,krishnan-r/sparkmonitor,,https://github.com/krishnan-r/sparkmonitor,Apache-2.0,2017-05-31 09:13:01.000,2022-05-16 18:45:37.000000,2022-05-16 18:45:37,215.0,,49.0,8.0,23.0,15.0,7.0,172.0,2018-05-29 18:46:14.000,0.0.9,2469.0,1988.0,9.0,,,3.0,https://pypi.org/project/sparkmonitor,1946.0,,,,3.0,krishnanr/sparkmonitor,,,https://hub.docker.com/r/krishnanr/sparkmonitor,2019-10-04 06:28:22.959295,,961.0,,,,,,,,,,,,,,,,,,
197,xeus-sqlite,Jupyter kernel for SQLite.,https://github.com/jupyter-xeus/xeus-sqlite,,kernels,16,True,,jupyter-xeus/xeus-sqlite,conda-forge/xeus-sqlite,https://github.com/jupyter-xeus/xeus-sqlite,BSD-3-Clause,2020-03-11 11:24:36.000,2023-12-08 12:00:06.740000,2023-12-08 08:06:36,306.0,3.0,24.0,6.0,93.0,15.0,31.0,160.0,,,,771.0,11.0,,,13.0,,,https://anaconda.org/conda-forge/xeus-sqlite,2023-12-08 12:00:06.740,33956.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
198,igv.js widget,Extension for Jupyter which integrates igv.js.,https://github.com/g2nb/igv-jupyter,,widgets,16,False,igv-jupyter,igvteam/igv-jupyter,,https://github.com/g2nb/igv-jupyter,MIT,2016-07-21 18:44:38.000,2023-01-03 21:53:51.000000,2023-01-03 21:53:51,140.0,,14.0,14.0,8.0,,41.0,155.0,2022-02-07 18:33:52.000,1.0.0,,150.0,9.0,14.0,14.0,5.0,https://pypi.org/project/igv-jupyter,150.0,,,,3.0,,,,,,,,,,,,,,g2nb/igv-jupyter,,,,,,,,,,,
199,ipycache,Defines a %%cache cell magic in the IPython notebook to cache results of long-lasting computations in a persistent..,https://github.com/rossant/ipycache,,magic,16,False,ipycache,rossant/ipycache,conda-forge/ipycache,https://github.com/rossant/ipycache,BSD-3-Clause,2013-10-08 13:16:17.000,2023-06-16 13:16:28.691000,2022-08-22 19:50:43,113.0,,25.0,10.0,35.0,17.0,22.0,138.0,2013-10-13 16:56:18.000,0.1.4,,988.0,5.0,36.0,29.0,10.0,https://pypi.org/project/ipycache,124.0,https://anaconda.org/conda-forge/ipycache,2023-06-16 13:16:28.691,80401.0,2.0,,2013-10-13 16:56:18.000,7.0,,,,,,,,,,,,,,,,,,,,,,
200,ipytree,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/jupyter-widgets-contrib/ipytree,,widgets,16,False,ipytree,QuantStack/ipytree,conda-forge/ipytree,https://github.com/jupyter-widgets-contrib/ipytree,MIT,2018-09-15 13:17:27.000,2023-10-25 14:25:25.000000,2022-11-23 09:34:00,111.0,,29.0,9.0,47.0,20.0,20.0,124.0,2022-08-24 12:33:17.000,0.2.2,,64409.0,8.0,,,9.0,https://pypi.org/project/ipytree,62319.0,https://anaconda.org/conda-forge/ipytree,2023-06-16 16:14:42.506,100349.0,3.0,,,,,,,,ipytree,https://www.npmjs.com/package/ipytree,390.0,,,,jupyter-widgets-contrib/ipytree,,,,,,,,,,,
201,Horizon Theme,VSCode Horizon Theme port for JupyterLab.,https://github.com/mohirio/jupyterlab-horizon-theme,,lab-themes,16,True,jupyterlab-horizon-theme,mohirio/jupyterlab-horizon-theme,,https://github.com/mohirio/jupyterlab-horizon-theme,BSD-3-Clause,2019-06-07 08:46:59.000,2023-12-08 10:45:54.000000,2023-11-22 19:40:53,62.0,13.0,7.0,1.0,13.0,1.0,8.0,82.0,2023-11-22 19:41:10.000,4.0.2,24.0,1170.0,2.0,3.0,3.0,3.0,https://pypi.org/project/jupyterlab-horizon-theme,855.0,,,,2.0,,,,,,,,@mohirio/jupyterlab-horizon-theme,https://www.npmjs.com/package/@mohirio/jupyterlab-horizon-theme,307.0,,,,,,,,,,,,,,,
202,Content Management,Jupyter Content Management Extensions.,https://github.com/jupyter-incubator/contentmanagement,,jupyter-extensions,16,False,jupyter_cms,jupyter-incubator/contentmanagement,conda-forge/jupyter_cms,https://github.com/jupyter-incubator/contentmanagement,BSD-3-Clause,2015-09-21 15:41:02.000,2023-10-06 09:59:54.551000,2018-06-11 01:51:34,136.0,,26.0,22.0,32.0,7.0,20.0,77.0,,,,2553.0,3.0,15.0,15.0,8.0,https://pypi.org/project/jupyter_cms,339.0,https://anaconda.org/conda-forge/jupyter_cms,2023-10-06 09:59:54.551,95225.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
203,jupyter-notify,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,15,False,jupyternotify,ShopRunner/jupyter-notify,,https://github.com/ShopRunner/jupyter-notify,BSD-3-Clause,2017-06-01 14:08:55.000,2022-08-09 17:30:42.000000,2021-04-27 14:56:38,57.0,,38.0,69.0,26.0,13.0,12.0,579.0,2018-01-08 14:51:41.000,0.1.15,,809.0,4.0,,,11.0,https://pypi.org/project/jupyternotify,809.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
204,F# Kernel,F# for Jupyter Notebooks.,https://github.com/fsprojects/IfSharp,,kernels,15,False,,fsprojects/IfSharp,,https://github.com/fsprojects/IfSharp,,2013-12-03 21:25:01.000,2022-03-17 09:11:27.000000,2022-03-17 09:11:22,339.0,,66.0,36.0,123.0,13.0,127.0,440.0,2020-03-08 20:03:38.000,3.0.4,5555.0,51.0,15.0,,,28.0,,,,,,3.0,fsprojects/ifsharp,,,https://hub.docker.com/r/fsprojects/ifsharp,2019-03-26 17:01:42.996172,,715.0,,,,,,,,,,,,,,,,,,
205,JupyterLab SQL,SQL GUI for JupyterLab.,https://github.com/pbugnion/jupyterlab-sql,,lab-extensions,15,False,jupyterlab_sql,pbugnion/jupyterlab-sql,,https://github.com/pbugnion/jupyterlab-sql,MIT,2019-02-01 09:37:05.000,2023-01-05 04:02:41.000000,2020-01-04 12:02:35,634.0,,48.0,13.0,92.0,44.0,37.0,404.0,2020-01-04 11:56:53.000,0.3.3,,434.0,41.0,,,2.0,https://pypi.org/project/jupyterlab_sql,434.0,,,,3.0,,2020-01-04 11:56:53.000,,,,,,jupyterlab-sql,https://www.npmjs.com/package/jupyterlab-sql,,2019-08-11 12:22:58.915,,,,,,,,,,,,,,
206,blackcellmagic,IPython magic command to format python code in cell using black.,https://github.com/csurfer/blackcellmagic,,magic,15,False,blackcellmagic,csurfer/blackcellmagic,conda-forge/blackcellmagic,https://github.com/csurfer/blackcellmagic,MIT,2018-04-25 14:27:26.000,2023-06-16 19:21:13.443000,2021-09-18 19:09:46,18.0,,13.0,12.0,7.0,5.0,5.0,305.0,,,,1353.0,1.0,230.0,230.0,3.0,https://pypi.org/project/blackcellmagic,1279.0,https://anaconda.org/conda-forge/blackcellmagic,2023-06-16 19:21:13.443,3146.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
207,ML Hub,Multi-user development platform for machine learning teams. Simple to setup within minutes.,https://github.com/ml-tooling/ml-hub,,notebook-environments,15,False,,ml-tooling/ml-hub,,https://github.com/ml-tooling/ml-hub,Apache-2.0,2019-06-26 15:05:50.000,2021-12-23 13:12:29.000000,2021-12-23 13:12:29,220.0,,63.0,18.0,8.0,16.0,11.0,291.0,2020-02-03 15:59:07.000,1.0.0,2062.0,848.0,8.0,,,7.0,,,,,,3.0,mltooling/ml-hub,,,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,45393.0,,,,,,,,,,,,,,,,,,
208,pynb,Jupyter Notebooks as plain Python code with embedded Markdown text.,https://github.com/elehcimd/pynb,,notebook-sharing,15,False,pynb,elehcimd/pynb,,https://github.com/elehcimd/pynb,MIT,2017-11-14 11:13:22.000,2020-07-07 15:27:22.000000,2020-07-07 15:27:10,154.0,,6.0,18.0,6.0,,8.0,245.0,2020-07-07 15:27:22.000,0.2.4,,95.0,17.0,23.0,22.0,8.0,https://pypi.org/project/pynb,95.0,,,,3.0,,2020-07-07 15:27:22.000,1.0,,,,,,,,,,,,,,,,,,,,,,
209,Jupyter Spark,Jupyter Notebook extension for Apache Spark integration.,https://github.com/mozilla/jupyter-spark,,jupyter-extensions,15,False,jupyter-spark,mozilla/jupyter-spark,,https://github.com/mozilla/jupyter-spark,MPL-2.0,2016-01-27 15:38:50.000,2020-12-01 19:43:11.000000,2020-12-01 19:43:11,106.0,,30.0,39.0,28.0,13.0,14.0,193.0,,,,535.0,,19.0,19.0,12.0,https://pypi.org/project/jupyter-spark,535.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
210,JupyterLab Spreadsheet,"JupyterLab plugin for viewing spreadsheets, such as Excel .xls/.xlsx workbooks and OpenOffice .ods files.",https://github.com/quigleyj97/jupyterlab-spreadsheet,,lab-renderer,15,False,,quigleyj97/jupyterlab-spreadsheet,,https://github.com/quigleyj97/jupyterlab-spreadsheet,BSD-3-Clause,2018-10-13 22:51:03.000,2023-05-06 22:45:04.000000,2022-07-18 18:08:51,129.0,,15.0,8.0,37.0,9.0,18.0,186.0,2021-07-17 23:45:44.000,0.4.1,,1210.0,5.0,6.0,6.0,4.0,,,,,,3.0,,,,,,,,jupyterlab-spreadsheet,https://www.npmjs.com/package/jupyterlab-spreadsheet,1210.0,,,,,,,,,,,,,,,
211,jupyterlab-tabular-data-editor,Manipulate your tabular data responsively and effectively within JupyterLab.,https://github.com/jupytercalpoly/jupyterlab-tabular-data-editor,,lab-renderer,15,False,jupyterlab-tabular-data-editor,jupytercalpoly/jupyterlab-tabular-data-editor,,https://github.com/jupytercalpoly/jupyterlab-tabular-data-editor,BSD-3-Clause,2020-06-17 20:38:15.000,2021-03-24 19:57:48.307000,2021-03-24 19:48:15,225.0,,18.0,7.0,189.0,31.0,103.0,131.0,2021-03-24 19:57:48.307,1.0.0,,1045.0,16.0,6.0,3.0,5.0,https://pypi.org/project/jupyterlab-tabular-data-editor,955.0,,,,3.0,,2021-03-24 19:56:11.000,,,,,,jupyterlab-tabular-data-editor,https://www.npmjs.com/package/jupyterlab-tabular-data-editor,90.0,2021-03-24 19:57:48.307,3.0,,,,,,,,,,,,,
212,JupyterLab Flake8,A jupyterlab extension to email notebooks directly from JupyterLab.,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,15,True,jupyterlab-email,timkpaine/jupyterlab_email,,https://github.com/timkpaine/jupyterlab_email,Apache-2.0,2018-08-07 14:14:40.000,2024-02-06 01:34:52.000000,2024-02-06 01:34:52,247.0,9.0,10.0,4.0,61.0,2.0,36.0,106.0,2023-08-17 16:44:39.000,0.3.1,,189.0,21.0,3.0,1.0,2.0,https://pypi.org/project/jupyterlab-email,124.0,,,,3.0,,2023-08-17 14:42:10.000,,,,,,jupyterlab-flake8,https://www.npmjs.com/package/jupyterlab-flake8,65.0,2021-09-16 15:37:05.151,2.0,,,,,,,,,,,,,
