,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,cran_id,pypi,go_id,go_url,gem_id,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-03-07 10:45:12.000000,2024-03-07 10:45:12,26937.0,149.0,4402.0,753.0,7035.0,1676.0,5667.0,16101.0,2024-03-04 10:32:50.000,8.22.2,320791.0,41763915.0,184.0,550877.0,513804.0,984.0,https://pypi.org/project/ipython,2024-03-04 10:32:50.000,37073.0,41109048.0,https://anaconda.org/conda-forge/ipython,2024-03-04 14:01:19.927,26093704.0,1.0,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-07 14:14:46.000000,2024-03-07 12:22:18,20411.0,86.0,4143.0,443.0,5996.0,754.0,6838.0,18647.0,2024-01-25 18:45:35.000,3.3.4,,4884353.0,196.0,88422.0,84586.0,685.0,https://pypi.org/project/bokeh,2024-02-28 17:33:12.000,3826.0,4575718.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13443795.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2024-02-28 17:33:01.146,10.0,9884.0,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-02-27 18:29:41.000000,2024-02-26 14:28:49,13524.0,40.0,4492.0,321.0,2401.0,1928.0,2912.0,12086.0,2024-02-26 14:30:19.000,7.1.1,16841.0,23802218.0,148.0,278335.0,269215.0,646.0,https://pypi.org/project/notebook,2024-02-26 14:30:10.000,9120.0,23392547.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4074578.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1069.0,32341095.0,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,40,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-03-05 14:12:26.000000,2024-03-04 16:19:46,4050.0,30.0,526.0,52.0,965.0,510.0,646.0,1645.0,2024-03-04 16:20:06.000,7.16.2,1011.0,25378909.0,71.0,258737.0,258737.0,271.0,https://pypi.org/project/nbconvert,,,24973437.0,https://anaconda.org/conda-forge/nbconvert,2024-03-04 19:54:11.460,16218213.0,1.0,,,,,,,,,,,,,,,,,,,,
5,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-03-07 08:46:36.000000,2024-03-06 18:41:13,3673.0,219.0,435.0,55.0,3188.0,969.0,2266.0,3939.0,2024-01-24 17:32:42.000,1.3.8,,850986.0,64.0,10375.0,10375.0,164.0,https://pypi.org/project/panel,,,767961.0,https://anaconda.org/conda-forge/panel,2024-01-27 09:14:49.749,1297098.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,,,54201.0,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,39,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-03-04 22:51:57.000000,2024-03-04 16:01:07,2910.0,29.0,349.0,39.0,725.0,247.0,240.0,602.0,2024-02-26 20:27:01.000,6.29.3,2145.0,25329782.0,75.0,340158.0,340158.0,182.0,https://pypi.org/project/ipykernel,,,25321081.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,863812.0,1.0,,,,,,,,,,,,,,,,,,,,
7,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-03-03 07:40:39.000000,2024-02-27 06:27:26,1377.0,11.0,1590.0,151.0,756.0,210.0,557.0,11869.0,2024-02-26 14:50:43.000,4.6.5,61.0,524299.0,56.0,2589.0,2589.0,119.0,https://pypi.org/project/pandas-profiling,,,519684.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,419981.0,1.0,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,
8,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,37,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-03-06 22:27:18.000000,2024-03-06 16:24:36,7295.0,111.0,1963.0,266.0,2287.0,183.0,2194.0,7862.0,2023-08-10 09:30:00.000,4.0.2,,254689.0,74.0,3147.0,2751.0,355.0,https://pypi.org/project/jupyterhub,2023-08-10 09:30:00.000,396.0,187069.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1051639.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-03-06 16:30:37.713129,331.0,5115261.0,,,,,,,,,,
9,evidently,Evaluate and monitor ML models from validation to production. Join our Discord: https://discord.com/invite/xZjKRaNp8b.,https://github.com/evidentlyai/evidently,,widgets,36,True,evidently,evidentlyai/evidently,conda-forge/evidently,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2024-03-06 22:36:55.000000,2024-03-01 13:51:04,1981.0,89.0,493.0,44.0,691.0,129.0,198.0,4473.0,2024-02-22 12:45:54.000,0.4.16,14.0,5660440.0,68.0,3092.0,3092.0,59.0,https://pypi.org/project/evidently,,,5659988.0,https://anaconda.org/conda-forge/evidently,2024-02-09 20:04:35.286,14041.0,1.0,,,,,,,,,,,,,,,,,,,,
10,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,35,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2024-02-21 02:04:15.000000,2024-01-13 17:13:08,2445.0,27.0,387.0,71.0,565.0,123.0,534.0,6363.0,2024-01-13 17:42:20.000,1.16.1,,662557.0,126.0,7178.0,6885.0,85.0,https://pypi.org/project/jupytext,2024-01-13 17:42:20.000,290.0,640114.0,https://anaconda.org/conda-forge/jupytext,2024-01-13 18:58:26.560,756674.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2024-01-13 17:12:47.276,3.0,5629.0,,,,,,,,,,,,,,,
11,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,35,True,jupyter-book,executablebooks/jupyter-book,conda-forge/jupyter-book,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2024-03-05 15:27:40.000000,2024-02-08 15:59:34,1527.0,68.0,651.0,61.0,763.0,598.0,741.0,3641.0,2024-01-26 21:10:26.000,1.0.0,,91737.0,47.0,13060.0,12897.0,136.0,https://pypi.org/project/jupyter-book,2024-01-26 14:30:38.000,163.0,88420.0,https://anaconda.org/conda-forge/jupyter-book,2024-02-21 13:26:30.376,122745.0,1.0,,,,,,,,,,,,,,,,,,,,
12,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,34,True,ipyleaflet,jupyter-widgets/ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-03-06 15:51:39.000000,2024-03-01 15:29:40,1173.0,16.0,364.0,66.0,599.0,268.0,347.0,1445.0,2024-01-23 17:57:40.189,0.18.2,,166807.0,81.0,7761.0,7589.0,88.0,https://pypi.org/project/ipyleaflet,2024-01-23 17:54:03.000,166.0,128761.0,https://anaconda.org/conda-forge/ipyleaflet,2024-01-23 20:31:49.209,1105555.0,1.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2024-01-23 17:57:40.189,6.0,14013.0,,,,,,,,,,,,,,,
13,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,34,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2024-02-22 18:19:19.000000,2023-11-25 20:30:31,1971.0,,187.0,23.0,262.0,108.0,230.0,389.0,,,,5795312.0,41.0,166186.0,166186.0,122.0,https://pypi.org/project/qtconsole,,,5692425.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4629941.0,1.0,,,,,,,,,,,,,,,,,,,,
14,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,33,True,,jupyter/docker-stacks,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2024-03-04 09:38:24.000000,2024-03-04 09:37:32,3706.0,65.0,2986.0,191.0,1220.0,11.0,867.0,8130.0,,,,869192.0,,21.0,21.0,241.0,,,,,,,,2.0,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2023-10-20 20:03:34.298948,441.0,90396051.0,,,,,,,,,,
15,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,33,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,BSD-3-Clause,2018-08-21 14:21:42.000,2024-02-21 02:14:24.000000,2024-02-07 10:00:20,1443.0,6.0,487.0,77.0,729.0,290.0,426.0,5127.0,2023-10-31 09:04:25.000,0.5.5,1045.0,78178.0,102.0,10942.0,10851.0,68.0,https://pypi.org/project/voila,2023-10-31 09:04:11.000,88.0,70274.0,https://anaconda.org/conda-forge/voila,2023-10-31 12:26:37.734,320426.0,2.0,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,3.0,241.0,,,,,,,,,,,,,,,
16,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,33,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-02-18 05:47:10.000000,2024-02-08 15:35:20,7825.0,10.0,904.0,76.0,1886.0,678.0,1323.0,3007.0,2024-02-22 16:47:17.000,8.1.2,,16665022.0,53.0,3.0,3.0,212.0,https://pypi.org/project/ipywidgets,,,16276887.0,https://anaconda.org/conda-forge/ipywidgets,2024-02-08 21:24:52.939,12855947.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,,,82042.0,,,,,,,,,,,,,,,
17,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,33,True,nikola,getnikola/nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2024-03-02 18:00:17.000000,2024-03-02 18:00:17,10409.0,26.0,441.0,78.0,1554.0,60.0,2109.0,2533.0,2024-01-10 20:52:22.000,8.3.0,96.0,3189.0,88.0,641.0,505.0,239.0,https://pypi.org/project/nikola,2024-01-10 20:49:58.000,136.0,3189.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
18,xonsh,"Python-powered, cross-platform, Unix-gazing shell.",https://github.com/xonsh/xonsh,,kernels,32,False,xonsh,xonsh/xonsh,,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh/blob/main/license,2015-01-21 22:05:27.000,2024-03-06 09:37:20.000000,2024-03-06 09:37:19,10507.0,28.0,636.0,105.0,2609.0,289.0,2213.0,7848.0,2024-02-25 00:16:08.000,0.15.0,9755.0,34269.0,127.0,99.0,,325.0,https://pypi.org/project/xonsh,2024-02-25 00:16:08.000,99.0,34165.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,32,True,papermill,nteract/papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2024-02-29 00:34:38.538000,2024-02-08 22:25:17,980.0,11.0,400.0,92.0,385.0,133.0,257.0,5560.0,,,,1517432.0,19.0,5735.0,5735.0,117.0,https://pypi.org/project/papermill,,,1505084.0,https://anaconda.org/conda-forge/papermill,2024-02-29 00:34:38.538,555663.0,2.0,,,,,,,,,,,,,,,,,,,,
20,VSCode Jupyter,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,32,True,,microsoft/vscode-jupyter,conda-forge/vscode-jupyter,https://github.com/microsoft/vscode-jupyter,MIT,2020-09-10 23:39:14.000,2024-03-07 07:37:02.000000,2024-03-07 07:37:01,8661.0,158.0,255.0,43.0,4392.0,382.0,9288.0,1193.0,2024-02-28 17:55:49.000,2024.2.0,,1784.0,34.0,3.0,3.0,269.0,,,,,https://anaconda.org/conda-forge/vscode-jupyter,2023-06-16 19:25:09.142,64228.0,2.0,,,,,,,,,,,,,,,,,,,,
21,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,32,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2024-03-04 14:54:19.683000,2024-03-04 12:06:25,12729.0,28.0,256.0,38.0,962.0,150.0,279.0,438.0,2024-03-04 12:06:42.000,2.13.0,2717.0,28037345.0,108.0,,,520.0,https://pypi.org/project/jupyter_server,,,27795821.0,https://anaconda.org/conda-forge/jupyter_server,2024-03-04 14:54:19.683,10140950.0,3.0,,,,,,,,,,,,-4.0,,,,,,,,
22,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,31,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,2016-06-03 20:09:17.000,2024-03-07 13:49:52.000000,,,,2993.0,,,2429.0,,13657.0,2024-03-07 13:37:50.000,4.1.4,,18552823.0,514.0,2932.0,,481.0,https://pypi.org/project/jupyterlab,2024-03-07 13:37:50.000,2545.0,18136701.0,https://anaconda.org/conda-forge/jupyterlab,2024-03-05 13:08:38.782,9792092.0,2.0,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2024-03-05 12:51:23.541,387.0,203251.0,,,,,,,,,,,,,,,
23,Perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",https://github.com/finos/perspective,,lab-extensions,31,True,perspective-python,finos/perspective,conda-forge/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2024-03-04 23:57:36.000000,2024-02-27 04:15:58,5936.0,80.0,945.0,111.0,1622.0,99.0,631.0,7331.0,2024-02-27 08:59:42.000,2.8.1,2321.0,20753.0,119.0,136.0,115.0,93.0,https://pypi.org/project/perspective-python,2024-02-27 07:08:38.000,17.0,8457.0,https://anaconda.org/conda-forge/perspective,2024-02-27 15:34:19.566,522384.0,1.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2024-02-27 07:08:02.353,4.0,398.0,,,,,,,,,,,,,,,
24,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,31,True,nteract_on_jupyter,nteract/nteract,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2023-12-30 16:09:02.000000,2023-12-30 16:09:02,11273.0,2.0,552.0,151.0,3990.0,190.0,1522.0,6131.0,2021-10-22 17:46:48.907,7.0.20,1493126.0,76437.0,94.0,45.0,3.0,180.0,https://pypi.org/project/nteract_on_jupyter,2019-07-16 03:59:16.000,5.0,1155.0,,,,2.0,@nteract/messaging,https://www.npmjs.com/package/@nteract/messaging,2021-10-22 17:46:48.907,37.0,59398.0,,,,,,,,,,,,,,,
25,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,31,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-03-07 14:03:24.000000,2024-03-06 14:52:20,787.0,13.0,373.0,74.0,284.0,57.0,508.0,4483.0,2024-03-07 14:03:25.000,3.11.0,,61165.0,181.0,1066.0,1043.0,30.0,https://pypi.org/project/dtale,2024-03-07 14:02:27.000,23.0,55386.0,https://anaconda.org/conda-forge/dtale,2024-01-31 21:54:07.762,265851.0,2.0,,,,,,,,,,,,,,,,,,,,
26,dtale,Visualizer for pandas data structures.,https://github.com/man-group/dtale,,jupyter-extensions,31,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-03-07 14:03:24.000000,2024-03-06 14:52:20,787.0,13.0,369.0,74.0,284.0,57.0,508.0,4483.0,2024-03-07 14:03:25.000,3.11.0,,61165.0,141.0,1043.0,1043.0,30.0,https://pypi.org/project/dtale,,,55386.0,https://anaconda.org/conda-forge/dtale,2024-01-31 21:54:07.762,265851.0,1.0,,,,,,,,,,,,,,,,,,,,
27,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,31,True,nbdime,jupyter/nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,BSD-3-Clause,2015-11-16 09:25:53.000,2024-02-20 22:29:28.000000,2023-11-21 09:21:22,2132.0,,164.0,41.0,412.0,77.0,263.0,2574.0,2023-11-21 09:21:51.000,4.0.1,100.0,255228.0,36.0,295.0,136.0,50.0,https://pypi.org/project/nbdime,2023-11-21 09:21:36.000,154.0,202798.0,https://anaconda.org/conda-forge/nbdime,2023-11-21 14:11:17.594,973733.0,2.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2023-11-21 09:21:48.655,5.0,28672.0,,,,,,,,,,,,,,,
28,JupyterLab LSP,Coding assistance for JupyterLab (code navigation + hover suggestions + linters + autocompletion + rename) using..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,31,True,jupyterlab-lsp,jupyter-lsp/jupyterlab-lsp,conda-forge/jupyter-lsp,https://github.com/jupyter-lsp/jupyterlab-lsp,BSD-3-Clause,2019-08-17 11:34:22.000,2024-03-05 21:11:09.300000,2024-03-05 12:20:01,2941.0,76.0,131.0,20.0,527.0,174.0,367.0,1695.0,2024-03-05 12:26:52.000,jupyter-lsp-2.2.4,,78611.0,58.0,1829.0,1829.0,52.0,https://pypi.org/project/jupyterlab-lsp,,,46481.0,https://anaconda.org/conda-forge/jupyter-lsp,2024-03-05 21:11:09.300,1320262.0,1.0,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,,,696.0,,,,,,,,,,,,,,,
29,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,31,True,ipympl,matplotlib/ipympl,conda-forge/ipympl,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2024-01-29 13:55:28.000000,2024-01-29 13:53:38,515.0,5.0,217.0,39.0,251.0,136.0,160.0,1505.0,2023-02-15 19:21:40.000,0.9.3,,288797.0,42.0,10455.0,10455.0,33.0,https://pypi.org/project/ipympl,,,260986.0,https://anaconda.org/conda-forge/ipympl,2023-06-16 13:22:32.078,1530134.0,2.0,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,,,10019.0,,,,,,,,,,,,,,,
30,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,31,True,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2024-02-21 08:05:02.000000,2024-02-21 08:05:01,1886.0,2.0,278.0,39.0,702.0,88.0,495.0,1369.0,2023-11-21 14:39:09.000,0.50.0,177.0,147813.0,56.0,2637.0,2637.0,94.0,https://pypi.org/project/jupyterlab-git,,,119501.0,https://anaconda.org/conda-forge/jupyterlab-git,2024-02-07 14:03:02.767,524437.0,1.0,@jupyterlab/git,https://www.npmjs.com/package/@jupyterlab/git,,,16654.0,,,,,,,3.0,,,,,,,,
31,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,31,True,nbformat,jupyter/nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2024-02-18 15:47:14.000000,2024-02-18 15:47:13,1042.0,2.0,148.0,22.0,251.0,62.0,80.0,240.0,2023-07-31 10:35:35.000,5.9.2,223.0,22880988.0,26.0,269651.0,269651.0,79.0,https://pypi.org/project/nbformat,,,22397513.0,https://anaconda.org/conda-forge/nbformat,2023-07-31 14:51:04.971,21272568.0,1.0,nbformat-schema,https://www.npmjs.com/package/nbformat-schema,,,3.0,,,,,,,,,,,,,,,
32,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,31,True,nbclient,jupyter/nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2024-03-04 17:14:11.000000,2024-02-18 17:52:21,377.0,4.0,51.0,11.0,203.0,35.0,69.0,132.0,2023-11-07 18:01:22.000,0.9.0,416.0,19027551.0,32.0,151918.0,151918.0,37.0,https://pypi.org/project/nbclient,,,18749268.0,https://anaconda.org/conda-forge/nbclient,2023-06-16 19:18:04.408,13635276.0,1.0,,,,,,,,,,,,,,,,,,,,
33,nbdev,Create delightful software with Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,30,True,nbdev,fastai/nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2024-03-04 02:11:03.000000,2024-03-04 02:09:12,1683.0,3.0,464.0,48.0,543.0,134.0,713.0,4705.0,2023-10-19 04:40:00.000,2.3.13,,65380.0,155.0,148.0,,94.0,https://pypi.org/project/nbdev,2023-10-19 04:40:00.000,148.0,65380.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,30,True,bqplot,bqplot/bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2024-02-19 16:46:43.025000,2023-10-04 07:40:23,3656.0,,449.0,100.0,1044.0,225.0,368.0,3536.0,2024-02-27 15:38:38.000,0.12.43,,143911.0,64.0,55.0,55.0,64.0,https://pypi.org/project/bqplot,,,113216.0,https://anaconda.org/conda-forge/bqplot,2024-02-19 16:46:43.025,1261945.0,2.0,bqplot,https://www.npmjs.com/package/bqplot,,,3262.0,,,,,,,,,,,,,,,
35,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,30,True,ipython-sql,catherinedevlin/ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2024-03-04 18:03:31.000000,2023-04-21 20:49:35,292.0,,297.0,49.0,97.0,111.0,43.0,1752.0,2023-02-27 00:06:57.430,0.5.0,,173091.0,19.0,6123.0,6055.0,55.0,https://pypi.org/project/ipython-sql,2023-02-27 00:06:57.430,68.0,170329.0,https://anaconda.org/conda-forge/ipython-sql,2023-06-16 13:23:09.898,251431.0,1.0,,,,,,,,,,,,,,,,,,,,
36,repo2docker,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,30,True,jupyter-repo2docker,jupyterhub/repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2024-02-20 21:12:11.000000,2024-02-06 07:22:46,2751.0,32.0,354.0,49.0,807.0,174.0,365.0,1572.0,2023-06-13 07:26:00.805,2023.6.0,,8182.0,20.0,231.0,203.0,123.0,https://pypi.org/project/jupyter-repo2docker,2023-06-13 07:26:00.805,28.0,8182.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,30,True,sparkmagic,jupyter-incubator/sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,BSD-3-Clause,2015-09-21 15:35:25.000,2024-03-04 14:20:10.000000,2024-02-10 21:27:57,1365.0,14.0,436.0,49.0,451.0,151.0,300.0,1278.0,2023-09-13 15:53:21.000,0.21.0,,47733.0,56.0,356.0,334.0,64.0,https://pypi.org/project/sparkmagic,2023-09-13 15:53:21.000,22.0,45028.0,https://anaconda.org/conda-forge/sparkmagic,2023-09-23 23:23:29.586,113638.0,1.0,,,,,,,,,,,,,,,,,,,,
38,responsible-ai-widgets,Responsible AI Toolbox is a suite of tools providing model and data exploration and assessment user interfaces and..,https://github.com/microsoft/responsible-ai-toolbox,,widgets,30,True,raiwidgets,microsoft/responsible-ai-toolbox,,https://github.com/microsoft/responsible-ai-toolbox,MIT,2020-07-06 20:46:53.000,2024-03-05 21:53:15.000000,2024-03-05 21:53:14,1943.0,65.0,294.0,23.0,2247.0,48.0,226.0,1144.0,2024-02-09 18:33:49.000,0.34.1,,4800.0,39.0,88.0,88.0,42.0,https://pypi.org/project/raiwidgets,,,4800.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
