,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,conda_dependent_project_count,updated_github_id,new_addition,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
10,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,36,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-10-01 17:04:39.000000,2023-09-01 15:16:27,1944.0,5.0,192.0,23.0,255.0,107.0,226.0,375.0,2023-09-01 15:15:12.000,5.4.4,,5363391.0,46.0,156342.0,149973.0,120.0,https://pypi.org/project/qtconsole,2023-09-01 15:15:12.000,6369.0,5250342.0,https://anaconda.org/conda-forge/qtconsole,2023-09-01 21:42:28.364,4521986.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,35,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2023-09-17 15:41:19.000000,2023-09-17 15:41:19,2352.0,27.0,381.0,67.0,518.0,115.0,506.0,6159.0,2023-09-16 21:41:00.000,1.15.2,,503453.0,123.0,6152.0,5898.0,81.0,https://pypi.org/project/jupytext,2023-09-16 21:41:00.000,252.0,479523.0,https://anaconda.org/conda-forge/jupytext,2023-09-17 11:30:21.079,688832.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2023-06-04 20:20:55.075,2.0,6710.0,,,,,,,,,,,,,,,,,,
12,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,35,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2023-10-03 21:00:24.000000,2023-10-03 20:59:19,12653.0,23.0,243.0,38.0,916.0,154.0,270.0,419.0,2023-08-31 08:20:58.000,2.7.3,2000.0,18481346.0,134.0,369.0,,513.0,https://pypi.org/project/jupyter_server,2023-08-31 08:20:50.000,369.0,18248632.0,https://anaconda.org/conda-forge/jupyter_server,2023-09-25 18:15:44.159,8608409.0,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,
13,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,34,True,nteract_on_jupyter,nteract/nteract,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2023-09-22 21:38:57.000000,2023-09-22 21:38:51,11267.0,13.0,579.0,155.0,3988.0,189.0,1522.0,6072.0,2021-10-22 17:46:48.907,7.0.20,1465491.0,115861.0,94.0,43.0,2.0,178.0,https://pypi.org/project/nteract_on_jupyter,2019-07-16 03:59:16.000,5.0,2578.0,,,,2.0,@nteract/messaging,https://www.npmjs.com/package/@nteract/messaging,2021-10-22 17:46:48.907,36.0,96817.0,,,,,,,,,,,,,,,,,,
14,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,34,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,BSD-3-Clause,2018-08-21 14:21:42.000,2023-10-03 16:27:38.000000,2023-10-03 07:45:16,1424.0,35.0,477.0,76.0,709.0,281.0,417.0,4943.0,2023-09-18 07:11:18.000,0.5.4,928.0,78318.0,101.0,10357.0,10271.0,66.0,https://pypi.org/project/voila,2023-09-18 07:11:06.000,84.0,69766.0,https://anaconda.org/conda-forge/voila,2023-09-18 09:52:45.570,299534.0,1.0,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,2.0,420.0,,,,,,,,,,,,,,,,,,
15,evidently,Evaluate and monitor ML models from validation to production. Join our Discord: https://discord.com/invite/xZjKRaNp8b.,https://github.com/evidentlyai/evidently,,widgets,34,True,evidently,evidentlyai/evidently,conda-forge/evidently,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2023-10-05 14:23:28.000000,2023-10-05 13:09:39,1821.0,85.0,426.0,40.0,530.0,108.0,167.0,3890.0,2023-09-15 20:33:15.000,0.4.5,,226812.0,84.0,2470.0,2464.0,47.0,https://pypi.org/project/evidently,2023-09-15 20:22:08.000,6.0,226421.0,https://anaconda.org/conda-forge/evidently,2023-09-18 21:07:31.723,10174.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,34,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2023-10-04 03:13:41.000000,2023-10-04 03:13:41,2574.0,12.0,264.0,35.0,615.0,173.0,197.0,330.0,2023-08-29 12:39:51.000,8.3.1,1294.0,23222968.0,90.0,2344.0,,130.0,https://pypi.org/project/jupyter-client,2023-08-29 12:39:43.000,2344.0,22743526.0,https://anaconda.org/conda-forge/jupyter_client,2023-08-29 14:05:58.000,18696355.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,34,True,nbformat,jupyter/nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-10-04 02:59:13.000000,2023-10-04 02:56:59,1033.0,12.0,142.0,23.0,241.0,59.0,80.0,219.0,2023-07-31 10:35:35.000,5.9.2,215.0,19310209.0,26.0,240440.0,240440.0,78.0,https://pypi.org/project/nbformat,,,18811685.0,https://anaconda.org/conda-forge/nbformat,2023-07-31 14:51:04.971,19439374.0,1.0,nbformat-schema,https://www.npmjs.com/package/nbformat-schema,,,73.0,,,,,,,,,,,,,,,,,,
18,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,33,True,ipyleaflet,jupyter-widgets/ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-09-23 22:00:32.000000,2023-09-11 08:59:57,1149.0,3.0,348.0,63.0,570.0,249.0,341.0,1405.0,2023-09-11 09:06:03.000,0.17.4,,226788.0,78.0,5594.0,5431.0,84.0,https://pypi.org/project/ipyleaflet,2023-09-11 09:06:03.000,158.0,158516.0,https://anaconda.org/conda-forge/ipyleaflet,2023-09-11 12:39:04.948,1071482.0,1.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2023-06-02 07:27:55.785,5.0,42139.0,,,,,,,,,,,,,,,,,,
19,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,32,False,,jupyterlab/debugger,,https://github.com/jupyterlab/debugger,BSD-3-Clause,2019-07-19 18:19:17.000,2023-10-03 12:17:40.224000,2021-03-31 14:20:34,1174.0,,2778.0,20.0,322.0,31.0,245.0,13238.0,2023-09-26 08:37:06.668,3.6.6,,80070.0,228.0,1043.0,1033.0,11.0,,,,,,,,1.0,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2023-10-03 12:17:40.224,10.0,80070.0,,,,,,6.0,,,,,,,,,,,,
20,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,32,True,,jupyter/docker-stacks,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2023-10-04 13:09:12.000000,2023-10-04 13:08:58,3503.0,138.0,2923.0,190.0,1149.0,25.0,836.0,7905.0,,,,906889.0,,16.0,16.0,236.0,,,,,,,,2.0,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2023-10-02 04:41:08.234166,426.0,89782062.0,,,,,,,,,,,,,
21,Perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",https://github.com/finos/perspective,,lab-extensions,32,True,perspective-python,finos/perspective,conda-forge/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2023-10-04 22:05:10.000000,2023-09-22 03:58:24,5737.0,55.0,825.0,112.0,1528.0,98.0,568.0,6703.0,2023-09-01 02:09:54.000,2.5.1,1318.0,18637.0,112.0,620.0,605.0,92.0,https://pypi.org/project/perspective-python,2023-09-01 02:09:54.000,12.0,5365.0,https://anaconda.org/conda-forge/perspective,2023-10-02 08:20:11.073,455498.0,1.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2023-09-01 02:07:50.033,3.0,1446.0,,,,,,,,,,,,,,,,,,
22,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,32,True,papermill,nteract/papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2023-10-01 16:58:17.000000,2023-06-08 14:23:52,939.0,,396.0,91.0,350.0,131.0,246.0,5378.0,2022-08-15 04:13:05.241,2.4.0,,1016319.0,72.0,5475.0,5257.0,109.0,https://pypi.org/project/papermill,2022-08-15 04:13:05.241,218.0,1003623.0,https://anaconda.org/conda-forge/papermill,2023-08-30 21:31:47.332,507873.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
23,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,31,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,2016-06-03 20:09:17.000,2023-10-03 12:24:24.239000,,,,2778.0,,,2386.0,,13238.0,2023-09-26 08:43:55.878,3.6.6,,13322546.0,493.0,2689.0,,430.0,https://pypi.org/project/jupyterlab,2023-10-03 12:16:12.000,2322.0,12919337.0,https://anaconda.org/conda-forge/jupyterlab,2023-09-26 12:50:03.568,9009474.0,2.0,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2023-10-03 12:24:24.239,367.0,183466.0,,,,,,,,,,,,,,,,,,
24,xonsh,"Python-powered, cross-platform, Unix-gazing shell.",https://github.com/xonsh/xonsh,,kernels,31,False,xonsh,xonsh/xonsh,,https://github.com/xonsh/xonsh,BSD-1-Clause,2015-01-21 22:05:27.000,2023-10-02 21:18:49.000000,2023-09-25 08:53:15,10466.0,23.0,614.0,106.0,2580.0,269.0,2195.0,7311.0,2023-08-16 07:03:44.000,0.14.1,9165.0,6686.0,123.0,96.0,,317.0,https://pypi.org/project/xonsh,2023-08-16 07:03:44.000,96.0,6598.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,31,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2023-10-02 20:41:19.114000,2023-10-02 19:31:25,757.0,34.0,350.0,72.0,269.0,51.0,492.0,4271.0,2023-10-02 20:11:29.000,3.7.0,,106481.0,175.0,896.0,875.0,30.0,https://pypi.org/project/dtale,2023-10-02 19:47:12.000,21.0,100406.0,https://anaconda.org/conda-forge/dtale,2023-10-02 20:41:19.114,249089.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
26,dtale,Visualizer for pandas data structures.,https://github.com/man-group/dtale,,jupyter-extensions,31,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2023-10-02 20:41:19.114000,2023-10-02 19:31:25,757.0,34.0,350.0,72.0,269.0,51.0,492.0,4271.0,2023-10-02 20:11:29.000,3.7.0,,106481.0,175.0,896.0,875.0,30.0,https://pypi.org/project/dtale,2023-10-02 19:47:12.000,21.0,100406.0,https://anaconda.org/conda-forge/dtale,2023-10-02 20:41:19.114,249089.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,True,jupyter-book,executablebooks/jupyter-book,conda-forge/jupyter-book,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-09-28 03:04:23.000000,2023-07-26 09:01:16,1424.0,2.0,626.0,61.0,736.0,567.0,725.0,3522.0,2023-03-14 01:34:01.609,0.15.1,,80724.0,46.0,11422.0,11312.0,126.0,https://pypi.org/project/jupyter-book,2020-04-28 17:42:58.000,110.0,77449.0,https://anaconda.org/conda-forge/jupyter-book,2023-06-16 19:24:49.553,104813.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
28,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,31,True,bqplot,bqplot/bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2023-10-04 07:40:23.000000,2023-10-04 07:40:23,3656.0,15.0,474.0,102.0,1038.0,245.0,368.0,3474.0,2023-08-04 08:42:57.918,0.5.42,,182958.0,109.0,170.0,49.0,64.0,https://pypi.org/project/bqplot,2023-07-17 16:10:40.597,105.0,147390.0,https://anaconda.org/conda-forge/bqplot,2023-07-12 07:26:23.351,1221587.0,2.0,bqplot,https://www.npmjs.com/package/bqplot,2023-08-04 08:42:57.918,16.0,5774.0,,,,,,,,,,,,,,,,,,
29,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,31,True,nbdime,jupyter/nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,BSD-3-Clause,2015-11-16 09:25:53.000,2023-10-05 13:30:55.000000,2023-10-05 13:09:54,2043.0,38.0,163.0,43.0,383.0,87.0,242.0,2514.0,2023-04-30 16:02:31.000,3.2.1,,225578.0,31.0,279.0,129.0,48.0,https://pypi.org/project/nbdime,2023-09-18 10:41:17.000,147.0,183510.0,https://anaconda.org/conda-forge/nbdime,2023-06-16 13:24:46.315,928742.0,2.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2023-09-18 09:56:51.708,3.0,30742.0,,,,,,,,,,,,,,,,,,
30,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,31,True,nikola,getnikola/nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2023-09-25 19:55:05.000000,2023-09-25 19:55:04,10379.0,9.0,441.0,78.0,1527.0,59.0,2092.0,2479.0,2023-04-30 10:43:00.749,8.2.4,19.0,1837.0,87.0,628.0,492.0,236.0,https://pypi.org/project/nikola,2022-05-01 17:06:34.000,136.0,1837.0,,,,2.0,,,,,,,,,,,-2.0,,,,,,,,,,,,
31,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,31,True,ipympl,matplotlib/ipympl,conda-forge/ipympl,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2023-10-02 20:57:42.000000,2023-06-16 01:18:19,510.0,,213.0,39.0,246.0,141.0,154.0,1459.0,2023-02-15 19:39:15.846,0.11.3,,247121.0,49.0,8945.0,8788.0,32.0,https://pypi.org/project/ipympl,2023-02-15 19:26:01.770,154.0,215585.0,https://anaconda.org/conda-forge/ipympl,2023-06-16 13:22:32.078,1456560.0,2.0,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2023-02-15 19:39:15.846,3.0,13554.0,,,,,,,,,,,,,,,,,,
32,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,31,True,sparkmagic,jupyter-incubator/sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,BSD-3-Clause,2015-09-21 15:35:25.000,2023-10-03 02:40:43.000000,2023-10-03 02:40:42,1325.0,42.0,435.0,50.0,408.0,145.0,299.0,1257.0,2023-09-13 15:53:21.000,0.21.0,,32182.0,56.0,333.0,311.0,63.0,https://pypi.org/project/sparkmagic,2023-09-13 15:53:21.000,22.0,29331.0,https://anaconda.org/conda-forge/sparkmagic,2023-09-23 23:23:29.586,105509.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
33,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,31,True,nbgrader,jupyter/nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2023-09-21 17:39:34.000000,2023-09-12 14:04:24,3405.0,18.0,319.0,44.0,929.0,249.0,640.0,1226.0,2023-09-05 12:35:02.000,0.9.1,275.0,15350.0,39.0,501.0,480.0,105.0,https://pypi.org/project/nbgrader,2023-09-05 12:34:49.000,21.0,10491.0,https://anaconda.org/conda-forge/nbgrader,2023-09-13 22:27:45.981,150576.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
34,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,31,True,jupyterhub-kubespawner,jupyterhub/kubespawner,conda-forge/jupyterhub-kubespawner,https://github.com/jupyterhub/kubespawner,BSD-3-Clause,2015-11-21 07:02:52.000,2023-10-04 00:50:56.000000,2023-10-03 10:38:40,1551.0,90.0,303.0,30.0,443.0,83.0,275.0,492.0,2023-09-28 16:53:53.000,6.1.0,,73154.0,37.0,154.0,140.0,82.0,https://pypi.org/project/jupyterhub-kubespawner,2023-09-28 16:53:53.000,14.0,72551.0,https://anaconda.org/conda-forge/jupyterhub-kubespawner,2023-09-28 19:05:20.782,18706.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
35,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,31,True,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,BSD-3-Clause,2014-09-23 21:37:06.000,2023-10-05 05:32:21.000000,2023-10-03 10:39:01,1501.0,63.0,348.0,24.0,407.0,47.0,240.0,376.0,2023-08-21 15:07:37.000,16.0.7,,26118.0,41.0,420.0,374.0,118.0,https://pypi.org/project/oauthenticator,2023-09-28 16:52:39.000,46.0,24939.0,https://anaconda.org/conda-forge/oauthenticator,2023-09-28 19:06:49.376,42446.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
36,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,31,True,nbclient,jupyter/nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2023-10-04 03:07:36.000000,2023-10-04 02:54:14,366.0,5.0,49.0,12.0,193.0,34.0,69.0,124.0,2023-05-22 15:04:06.000,0.8.0,362.0,14441075.0,32.0,126972.0,126972.0,37.0,https://pypi.org/project/nbclient,,,14165157.0,https://anaconda.org/conda-forge/nbclient,2023-06-16 19:18:04.408,12139838.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
