,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
11,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,35,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-04-06 20:07:25.000000,2023-04-02 21:20:30,1932.0,22.0,183.0,23.0,252.0,104.0,221.0,364.0,,,,3370855.0,37.0,131704.0,131704.0,120.0,https://pypi.org/project/qtconsole,3324468.0,https://anaconda.org/conda-forge/qtconsole,2023-04-03 17:42:12.643,3896577.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,34,True,jupyter-book,executablebooks/jupyter-book,conda-forge/jupyter-book,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2023-05-01 16:59:43.000000,2023-04-24 17:23:00,1421.0,25.0,613.0,61.0,723.0,535.0,717.0,3350.0,2023-03-14 01:34:01.609,0.15.1,,67552.0,46.0,9685.0,9573.0,124.0,https://pypi.org/project/jupyter-book,64908.0,https://anaconda.org/conda-forge/jupyter-book,2023-03-14 03:05:03.318,71399.0,1.0,,2023-03-08 02:41:01.775,112.0,,,,,,,,,,,,,,,,,,,,,
13,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,34,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2023-05-02 05:04:31.000000,2023-04-13 22:46:12,2558.0,15.0,258.0,34.0,597.0,164.0,194.0,314.0,2023-04-13 22:48:07.318,8.2.0,967.0,20334234.0,88.0,2308.0,,127.0,https://pypi.org/project/jupyter-client,20160873.0,https://anaconda.org/conda-forge/jupyter_client,2023-04-14 00:41:26.294,14731794.0,1.0,,2023-02-16 16:03:04.992,2308.0,,,,,5.0,,,,,,,,,,,,,,,,
14,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,34,True,nbformat,jupyter/nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2023-05-02 05:05:04.000000,2023-04-13 22:49:36,1015.0,9.0,150.0,26.0,225.0,61.0,78.0,207.0,2023-03-20 14:41:05.160,5.8.0,114.0,13659457.0,35.0,219276.0,210500.0,76.0,https://pypi.org/project/nbformat,13481718.0,https://anaconda.org/conda-forge/nbformat,2023-03-20 18:30:27.236,15097753.0,1.0,nbformat-schema,2023-01-12 12:36:21.091,8774.0,https://www.npmjs.com/package/nbformat-schema,2023-03-20 14:39:37.584,2.0,116.0,,,,,,,,,,,,,,,,,
15,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,33,True,nteract_on_jupyter,nteract/nteract,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2023-03-26 09:07:10.000000,2023-03-26 09:07:05,11254.0,28.0,577.0,155.0,3985.0,185.0,1522.0,6020.0,2021-10-22 17:46:48.907,7.0.20,1436327.0,91952.0,94.0,42.0,2.0,178.0,https://pypi.org/project/nteract_on_jupyter,2611.0,,,,2.0,@nteract/messaging,2019-07-16 03:59:16.000,5.0,https://www.npmjs.com/package/@nteract/messaging,2021-10-22 17:46:48.907,35.0,72242.0,,,,,,,,,,,,,,,,,
16,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,33,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,BSD-3-Clause,2018-08-21 14:21:42.000,2023-05-02 07:34:00.000000,2023-05-02 07:34:00,1380.0,28.0,468.0,77.0,660.0,294.0,385.0,4720.0,2022-10-26 15:14:01.592,0.4.0,602.0,180931.0,88.0,9744.0,9668.0,65.0,https://pypi.org/project/voila,175756.0,https://anaconda.org/conda-forge/voila,2022-10-27 07:53:02.986,262882.0,2.0,@jupyter-voila/jupyterlab-preview,2022-10-28 10:17:00.860,74.0,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,2.0,366.0,,,,,,,,,,,,,,,,,
17,evidently,Evaluate and monitor ML models from validation to production. Join our Discord: https://discord.com/invite/xZjKRaNp8b.,https://github.com/evidentlyai/evidently,,widgets,33,True,evidently,evidentlyai/evidently,conda-forge/evidently,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2023-05-04 13:46:57.000000,2023-05-04 13:46:57,1695.0,91.0,374.0,36.0,394.0,60.0,141.0,3392.0,2023-04-27 10:42:40.000,0.3.1,,129725.0,49.0,1617.0,1617.0,38.0,https://pypi.org/project/evidently,129498.0,https://anaconda.org/conda-forge/evidently,2023-04-28 22:22:34.769,4774.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,33,True,nikola,getnikola/nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2023-04-30 10:42:26.000000,2023-04-30 10:42:30,10330.0,21.0,353.0,79.0,1518.0,51.0,2079.0,2436.0,2023-04-30 10:42:55.000,8.2.4,,1579.0,78.0,480.0,480.0,234.0,https://pypi.org/project/nikola,1579.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
19,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,33,True,ipympl,matplotlib/ipympl,conda-forge/ipympl,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2023-04-03 20:28:46.000000,2023-02-27 17:26:05,508.0,22.0,209.0,39.0,245.0,130.0,150.0,1417.0,2023-02-15 19:21:40.000,0.9.3,,233507.0,42.0,7215.0,7215.0,31.0,https://pypi.org/project/ipympl,200749.0,https://anaconda.org/conda-forge/ipympl,2023-02-16 08:26:01.938,1325680.0,1.0,jupyter-matplotlib,,,https://www.npmjs.com/package/jupyter-matplotlib,,,15315.0,,,,,,,,,,,,,,,,,
20,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,32,True,nbdime,jupyter/nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,BSD-3-Clause,2015-11-16 09:25:53.000,2023-05-02 15:22:34.000000,2023-04-30 15:45:30,2000.0,23.0,159.0,46.0,363.0,76.0,237.0,2443.0,2023-04-30 16:02:31.000,3.2.1,,248891.0,29.0,267.0,110.0,45.0,https://pypi.org/project/nbdime,201173.0,https://anaconda.org/conda-forge/nbdime,2023-04-30 17:52:00.809,831295.0,2.0,nbdime-jupyterlab,2021-10-26 00:15:41.000,154.0,https://www.npmjs.com/package/nbdime-jupyterlab,2023-04-22 13:32:12.327,3.0,36922.0,,,,,,,,,,,,,,,,,
21,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,32,True,nbclient,jupyter/nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2023-05-02 05:52:35.000000,2023-05-02 05:52:35,356.0,12.0,51.0,12.0,184.0,42.0,68.0,118.0,2023-04-25 14:39:01.489,0.7.4,249.0,10236450.0,37.0,101055.0,100919.0,36.0,https://pypi.org/project/nbclient,10008495.0,https://anaconda.org/conda-forge/nbclient,2023-04-25 19:53:14.314,8889844.0,1.0,,2022-11-29 17:24:01.500,136.0,,,,,,,,,,,,,,,,,,,,,
22,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,31,True,papermill,nteract/papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2023-03-03 17:24:33.000000,2022-10-18 22:34:20,938.0,,374.0,91.0,347.0,123.0,245.0,5212.0,,,,936229.0,17.0,4806.0,4806.0,108.0,https://pypi.org/project/papermill,928753.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,426162.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
23,JupyterLab LSP,Coding assistance for JupyterLab (code navigation + hover suggestions + linters + autocompletion + rename) using..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,31,True,jupyterlab-lsp,jupyter-lsp/jupyterlab-lsp,conda-forge/jupyter-lsp,https://github.com/jupyter-lsp/jupyterlab-lsp,BSD-3-Clause,2019-08-17 11:34:22.000,2023-04-24 21:22:59.953000,2023-04-24 18:51:51,2610.0,47.0,114.0,17.0,464.0,169.0,301.0,1484.0,2023-04-24 19:04:58.000,4.1.0,,27303.0,45.0,1497.0,1497.0,46.0,https://pypi.org/project/jupyterlab-lsp,21211.0,https://anaconda.org/conda-forge/jupyter-lsp,2023-04-24 21:22:59.953,98783.0,1.0,@krassowski/jupyterlab-lsp,,,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,,,3006.0,,,,,,,,,,,,,,,,,
24,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,True,ipyleaflet,jupyter-widgets/ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-03-24 10:26:16.000000,2023-02-10 13:49:02,1145.0,1.0,351.0,63.0,563.0,232.0,334.0,1355.0,2022-10-19 07:57:17.000,0.17.2,,212609.0,76.0,4377.0,4227.0,82.0,https://pypi.org/project/ipyleaflet,156798.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,999729.0,2.0,jupyter-leaflet,2022-10-19 07:45:44.840,145.0,https://www.npmjs.com/package/jupyter-leaflet,2022-10-19 07:43:02.682,5.0,43910.0,,,,,,,,,,,,,,,,,
25,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,31,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2023-05-04 03:43:45.000000,2023-04-25 13:02:07,12606.0,35.0,217.0,39.0,874.0,124.0,263.0,390.0,2023-04-13 19:53:25.000,1.24.0,1419.0,13949756.0,100.0,,,502.0,https://pypi.org/project/jupyter_server,13856842.0,https://anaconda.org/conda-forge/jupyter_server,2023-03-17 17:33:31.186,5201288.0,3.0,,,,,,,,-5.0,,,,,,,,,,,,,,,,
26,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,30,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,2016-06-03 20:09:17.000,2023-04-27 23:00:12.428000,,,,2622.0,,,2287.0,,12860.0,2023-03-31 07:15:53.147,3.6.3,,2267732.0,478.0,2520.0,,430.0,https://pypi.org/project/jupyterlab,1993891.0,https://anaconda.org/conda-forge/jupyterlab,2023-04-27 23:00:12.428,7841062.0,2.0,@jupyterlab/ui-components,2022-06-09 13:09:14.000,2176.0,https://www.npmjs.com/package/@jupyterlab/ui-components,2023-04-27 15:57:33.450,344.0,179371.0,,,,,,,,,,,,,,,,,
27,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,30,True,,jupyter/docker-stacks,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2023-05-02 05:52:12.000000,2023-05-02 05:52:11,3302.0,55.0,2891.0,191.0,1079.0,21.0,795.0,7645.0,,,,948694.0,,,,231.0,,,,,,2.0,,,,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2023-05-01 04:34:43.548713,396.0,89177322.0,,,,,,,,,,,
28,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,30,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2023-05-02 16:02:48.394000,2023-05-01 16:01:17,695.0,32.0,332.0,71.0,248.0,40.0,467.0,3997.0,2023-05-01 16:05:02.000,2.15.2,,114402.0,126.0,684.0,684.0,29.0,https://pypi.org/project/dtale,109041.0,https://anaconda.org/conda-forge/dtale,2023-05-02 16:02:48.394,209096.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
29,dtale,Visualizer for pandas data structures.,https://github.com/man-group/dtale,,jupyter-extensions,30,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2023-05-02 16:02:48.394000,2023-05-01 16:01:17,695.0,32.0,338.0,71.0,248.0,40.0,467.0,3997.0,2023-05-02 15:18:00.522,2.15.2,,114402.0,164.0,700.0,684.0,29.0,https://pypi.org/project/dtale,109041.0,https://anaconda.org/conda-forge/dtale,2023-05-02 16:02:48.394,209096.0,1.0,,2022-06-17 17:45:42.000,16.0,,,,,,,,,,,,,,,,,,,,,
30,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,30,True,bqplot,bqplot/bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2023-04-12 07:25:28.072000,2023-04-11 14:07:26,3641.0,33.0,442.0,104.0,1019.0,216.0,364.0,3439.0,2023-04-11 15:00:49.000,0.12.39,,167001.0,61.0,40.0,40.0,62.0,https://pypi.org/project/bqplot,148776.0,https://anaconda.org/conda-forge/bqplot,2023-04-12 07:25:28.072,1149206.0,2.0,bqplot,,,https://www.npmjs.com/package/bqplot,,,4544.0,,,,,,,,,,,,,,,,,
31,elyra,Elyra extends JupyterLab with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,30,True,elyra,elyra-ai/elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,Apache-2.0,2019-10-22 21:37:58.000,2023-05-04 08:42:56.000000,2023-05-02 00:28:50,1893.0,30.0,280.0,45.0,1446.0,242.0,1342.0,1586.0,2023-03-29 14:23:28.000,3.15.0,,3493.0,29.0,45.0,45.0,57.0,https://pypi.org/project/elyra,1676.0,https://anaconda.org/conda-forge/elyra,2023-03-29 16:35:15.129,31446.0,1.0,@elyra/services,,,https://www.npmjs.com/package/@elyra/services,,,865.0,,,,,,,,,,,,,,,,,
32,repo2docker,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,30,True,jupyter-repo2docker,jupyterhub/repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2023-05-02 04:27:42.000000,2023-04-11 11:00:10,2600.0,50.0,326.0,47.0,766.0,182.0,345.0,1472.0,2022-10-18 19:01:00.000,2022.10.0,,2437.0,19.0,206.0,179.0,116.0,https://pypi.org/project/jupyter-repo2docker,2437.0,,,,2.0,,2022-10-18 19:00:01.421,27.0,,,,,,,,,,,,,,,,,,,,,
33,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,30,True,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2023-04-24 16:17:08.000000,2023-04-07 13:49:17,1829.0,11.0,259.0,37.0,658.0,97.0,461.0,1254.0,2022-12-15 13:25:32.000,0.41.0,,127960.0,49.0,21.0,21.0,86.0,https://pypi.org/project/jupyterlab-git,105824.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-12-16 08:18:31.363,414110.0,1.0,@jupyterlab/git,,,https://www.npmjs.com/package/@jupyterlab/git,,,14323.0,,,,,,,,,,,,,,,,,
34,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,30,True,nbgrader,jupyter/nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2023-04-13 14:35:45.000000,2023-03-28 07:55:44,3374.0,32.0,296.0,41.0,903.0,229.0,629.0,1183.0,2023-03-28 07:56:15.000,0.8.2,132.0,5534.0,27.0,434.0,434.0,100.0,https://pypi.org/project/nbgrader,3694.0,https://anaconda.org/conda-forge/nbgrader,2023-03-31 14:26:09.849,139816.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
35,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,30,True,jupyterhub-kubespawner,jupyterhub/kubespawner,conda-forge/jupyterhub-kubespawner,https://github.com/jupyterhub/kubespawner,BSD-3-Clause,2015-11-21 07:02:52.000,2023-05-02 10:30:33.000000,2023-05-02 07:58:10,1396.0,50.0,290.0,29.0,408.0,68.0,255.0,451.0,2023-04-18 20:33:00.908,5.0.0,,46862.0,34.0,142.0,128.0,79.0,https://pypi.org/project/jupyterhub-kubespawner,46326.0,https://anaconda.org/conda-forge/jupyterhub-kubespawner,2023-04-19 07:13:35.272,13957.0,1.0,,2022-11-03 16:42:13.267,14.0,,,,,,,,,,,,,,,,,,,,,
36,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,30,True,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,BSD-3-Clause,2014-09-23 21:37:06.000,2023-05-03 10:25:11.000000,2023-05-03 09:51:29,1288.0,90.0,348.0,24.0,360.0,47.0,214.0,364.0,2022-09-08 08:55:21.120,15.1.0,,19174.0,31.0,383.0,339.0,112.0,https://pypi.org/project/oauthenticator,18445.0,https://anaconda.org/conda-forge/oauthenticator,2022-09-08 13:19:36.567,35724.0,1.0,,2022-09-08 08:55:21.120,44.0,,,,,,,,,,,,,,,,,,,,,
