,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
10,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,36,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-03-11 14:27:17.000000,2022-03-11 14:27:17,1853.0,34.0,172.0,22.0,231.0,103.0,200.0,302.0,2021-12-13 17:55:59.000,5.2.2,,3265945.0,38.0,102774.0,96464.0,114.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-12-13 17:55:59.000,6310.0,3232557.0,https://anaconda.org/conda-forge/qtconsole,2021-12-30 15:08:07.413,2337175.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,35,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-03-16 08:33:19.000000,2022-03-01 16:07:01,939.0,9.0,1259.0,151.0,388.0,113.0,441.0,8689.0,2021-09-27 23:12:22.000,3.1.0,,1005238.0,31.0,7254.0,7104.0,86.0,https://pypi.org/project/pandas-profiling,MIT,2021-09-27 23:12:22.000,150.0,1002393.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,190635.0,1.0,,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,
12,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,35,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000,2022-03-24 09:06:18.000000,2022-03-22 14:42:36,1235.0,91.0,387.0,77.0,544.0,260.0,345.0,3990.0,2022-03-22 14:45:07.000,0.3.4,223.0,66219.0,74.0,6324.0,6269.0,57.0,https://pypi.org/project/voila,BSD-3-Clause,2022-03-22 14:44:56.000,55.0,59010.0,https://anaconda.org/conda-forge/voila,2022-03-22 15:16:45.413,165356.0,1.0,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,,3139.0,,,,,,,,,,,,,,,,,
13,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,35,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000,2022-03-14 16:08:31.000000,2022-03-07 11:52:31,2218.0,59.0,220.0,30.0,451.0,139.0,170.0,266.0,2022-01-21 23:15:35.000,7.1.2,176.0,10946149.0,53.0,2138.0,,113.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2022-01-21 23:15:30.000,2138.0,10850020.0,https://anaconda.org/conda-forge/jupyter_client,2022-01-22 13:42:45.147,6823384.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,34,True,nteract_on_jupyter,nteract/nteract,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000,2022-03-24 01:34:46.000000,2022-03-17 04:29:29,11151.0,46.0,562.0,160.0,3918.0,162.0,1520.0,5769.0,2021-10-22 17:46:48.907,7.0.20,1317453.0,51056.0,94.0,37.0,,177.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000,5.0,2851.0,,,,2.0,@nteract/messaging,https://www.npmjs.com/package/@nteract/messaging,2021-10-22 17:46:48.907,32.0,29385.0,,,,,,,,,,,,,,,,,
15,ipyparallel,IPython Parallel: Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,34,True,ipyparallel,ipython/ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000,2022-03-22 08:25:03.000000,2022-03-22 08:25:03,2573.0,44.0,863.0,115.0,358.0,49.0,267.0,2165.0,2021-12-22 08:42:58.000,8.1.0,,59911.0,37.0,2148.0,1865.0,106.0,https://pypi.org/project/ipyparallel,BSD-3-Clause,2022-02-07 14:22:40.000,283.0,51856.0,https://anaconda.org/conda-forge/ipyparallel,2022-02-07 17:40:52.548,571942.0,1.0,,,,,,,,,,,,,,,,,,,,,,
16,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,34,True,nbformat,jupyter/nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000,2022-03-10 22:26:42.482000,2022-03-10 17:07:34,776.0,20.0,129.0,24.0,139.0,50.0,68.0,167.0,2022-03-10 20:06:53.882,5.2.0,,10770315.0,23.0,155002.0,146454.0,62.0,https://pypi.org/project/nbformat,BSD-3-Clause,2022-03-10 20:06:50.000,8548.0,10665043.0,https://anaconda.org/conda-forge/nbformat,2022-03-10 22:26:42.482,7465898.0,1.0,nbformat-schema,https://www.npmjs.com/package/nbformat-schema,2022-03-10 20:06:53.882,,119.0,,,,,,,,,,,,,,,,,
17,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,33,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000,2022-03-22 09:16:42.000000,2022-03-21 06:25:38,2247.0,20.0,326.0,70.0,437.0,63.0,438.0,5267.0,2022-02-09 21:36:45.000,1.13.7,,206744.0,109.0,2731.0,2588.0,69.0,https://pypi.org/project/jupytext,MIT,2022-02-09 21:36:45.000,143.0,188886.0,https://anaconda.org/conda-forge/jupytext,2022-02-15 08:53:11.191,281377.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2021-12-04 13:07:28.249,,10824.0,,,,,,,,,,,,,,,,,
18,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,33,True,papermill,nteract/papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000,2022-03-08 13:39:13.000000,2022-02-18 05:38:57,908.0,10.0,352.0,94.0,317.0,102.0,234.0,4614.0,2022-01-22 22:46:54.000,2.3.4,,601707.0,71.0,2206.0,2028.0,98.0,https://pypi.org/project/papermill,BSD-3-Clause,2022-01-22 22:46:54.000,178.0,596267.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,233959.0,1.0,,,,,,,,,,,,,,,,,,,,,,
19,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,33,True,nikola,getnikola/nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000,2022-03-08 17:38:51.000000,2022-03-08 17:38:50,10257.0,16.0,415.0,82.0,1497.0,39.0,2043.0,2269.0,2021-12-27 18:23:21.000,8.2.0,,3509.0,83.0,550.0,413.0,224.0,https://pypi.org/project/nikola,MIT,2021-12-27 18:21:19.000,137.0,3509.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
20,Perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",https://github.com/finos/perspective,,lab-extensions,32,True,perspective-python,finos/perspective,conda-forge/perspective,https://github.com/finos/perspective,2017-11-02 16:27:54.000,2022-03-22 21:21:29.000000,2022-03-19 19:25:21,5121.0,148.0,448.0,98.0,1203.0,76.0,436.0,4272.0,2022-03-14 20:14:01.000,1.3.5,,13176.0,69.0,247.0,238.0,68.0,https://pypi.org/project/perspective-python,Apache-2.0,2022-03-14 20:14:01.000,9.0,8562.0,https://anaconda.org/conda-forge/perspective,2022-03-15 04:10:55.269,45288.0,1.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2022-03-17 05:38:55.940,,2458.0,,,,,,,,,,,,,,,,,
21,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,32,True,bqplot,bqplot/bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000,2022-03-03 13:30:30.000000,2022-03-03 13:30:28,3507.0,65.0,458.0,111.0,923.0,228.0,355.0,3261.0,2022-02-11 15:29:07.544,0.5.34,,111569.0,100.0,132.0,30.0,56.0,https://pypi.org/project/bqplot,Apache-2.0,2022-02-11 15:27:16.000,92.0,73850.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,932933.0,1.0,bqplot,https://www.npmjs.com/package/bqplot,2022-02-11 15:29:07.544,10.0,24392.0,,,,,,,,,,,,,,,,,
22,nbdev,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,32,True,nbdev,fastai/nbdev,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000,2022-03-21 00:04:05.000000,2022-03-21 00:04:05,1383.0,97.0,331.0,38.0,235.0,87.0,280.0,3179.0,2022-02-24 05:10:31.000,1.2.2,,103393.0,98.0,69.0,,63.0,https://pypi.org/project/nbdev,Apache-2.0,2022-02-24 05:11:00.000,69.0,103393.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
23,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,32,True,jupyterhub-kubespawner,jupyterhub/kubespawner,conda-forge/jupyterhub-kubespawner,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000,2022-03-23 07:34:21.000000,2022-03-23 07:06:18,1157.0,141.0,251.0,30.0,317.0,57.0,234.0,400.0,2022-03-15 19:49:05.000,3.0.2,,583368.0,29.0,118.0,104.0,67.0,https://pypi.org/project/jupyterhub-kubespawner,BSD-3-Clause,2022-03-15 19:49:05.000,14.0,583157.0,https://anaconda.org/conda-forge/jupyterhub-kubespawner,2022-03-15 22:51:24.437,2534.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,
24,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,31,True,,jupyter/docker-stacks,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000,2022-03-22 09:38:50.000000,2022-03-22 09:38:50,2782.0,361.0,2560.0,189.0,932.0,67.0,690.0,6897.0,,,,1067095.0,,,,216.0,,BSD-3-Clause,,,,,,,2.0,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-03-21 20:20:09.517194,337.0,85367617.0,,,,,,,,,,,,
25,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,31,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000,2022-03-24 03:01:11.816000,2022-03-24 02:17:16,589.0,45.0,262.0,66.0,199.0,36.0,416.0,3303.0,2022-03-24 02:37:28.000,2.2.0,,80712.0,145.0,328.0,317.0,23.0,https://pypi.org/project/dtale,LGPL-2.1,2022-03-24 02:36:09.000,11.0,76374.0,https://anaconda.org/conda-forge/dtale,2022-03-24 03:01:11.816,108461.0,2.0,,,,,,,,,,,,,,,,,,,,,,
26,dtale,Visualizer for pandas data structures.,https://github.com/man-group/dtale,,jupyter-extensions,31,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000,2022-03-24 03:01:11.816000,2022-03-24 02:17:16,589.0,45.0,262.0,66.0,199.0,36.0,416.0,3303.0,2022-03-24 02:37:28.000,2.2.0,,80712.0,145.0,328.0,317.0,23.0,https://pypi.org/project/dtale,LGPL-2.1,2022-03-24 02:36:09.000,11.0,76374.0,https://anaconda.org/conda-forge/dtale,2022-03-24 03:01:11.816,108461.0,1.0,,,,,,,,,,,,,,,,,,,,,,
27,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,31,True,ipympl,matplotlib/ipympl,conda-forge/ipympl,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000,2022-03-17 16:30:02.000000,2022-02-21 08:29:31,439.0,21.0,178.0,41.0,199.0,105.0,135.0,1241.0,2022-02-18 05:57:25.000,0.8.8,,139473.0,45.0,2827.0,2755.0,26.0,https://pypi.org/project/ipympl,BSD-3-Clause,2022-02-18 06:03:00.000,72.0,91600.0,https://anaconda.org/conda-forge/ipympl,2022-02-18 08:56:09.718,866911.0,2.0,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2022-01-20 10:11:27.612,,33891.0,,,,,,,,,,,,,,,,,
28,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,True,ipyleaflet,jupyter-widgets/ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000,2022-03-22 17:06:28.000000,2022-02-17 09:26:35,995.0,9.0,316.0,65.0,462.0,181.0,294.0,1237.0,2021-12-06 12:34:17.000,0.15.0,,118189.0,72.0,1658.0,1554.0,74.0,https://pypi.org/project/ipyleaflet,MIT,2021-12-06 12:34:17.000,102.0,62448.0,https://anaconda.org/conda-forge/ipyleaflet,2021-12-09 18:45:12.043,798999.0,2.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-12-06 12:32:39.669,2.0,44327.0,,,,,,,,,,,,,,,,,
29,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,31,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,2016-09-21 19:18:45.000,2022-03-24 14:35:00.000000,2022-03-23 16:27:25,12266.0,84.0,162.0,37.0,499.0,96.0,169.0,299.0,2022-03-16 20:41:49.000,1.15.6,304.0,1997007.0,58.0,,,460.0,https://pypi.org/project/jupyter_server,BSD-3-Clause,2018-07-31 14:15:16.000,,1967355.0,https://anaconda.org/conda-forge/jupyter_server,2022-03-22 09:27:30.791,1244928.0,3.0,,,,,,,,,,,,,,,,,,,,,,
30,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,31,True,nbclient,jupyter/nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000,2022-03-11 11:51:34.975000,2022-03-11 08:59:11,277.0,30.0,42.0,9.0,128.0,35.0,58.0,86.0,2022-03-11 09:00:20.000,0.5.13,34.0,9471281.0,23.0,47849.0,47774.0,30.0,https://pypi.org/project/nbclient,BSD-3-Clause,2022-03-11 09:00:13.000,75.0,9342748.0,https://anaconda.org/conda-forge/nbclient,2022-03-11 11:51:34.975,3213225.0,2.0,,,,,,,,,,,,,,,,,,,,,,
31,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,30,True,jupyter-book,executablebooks/jupyter-book,conda-forge/jupyter-book,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000,2022-03-22 23:37:39.000000,2022-03-22 23:35:51,1339.0,29.0,463.0,61.0,623.0,398.0,627.0,2716.0,2022-02-22 01:14:10.000,0.12.2,,41640.0,39.0,52.0,,102.0,https://pypi.org/project/jupyter-book,BSD-3-Clause,2022-02-22 01:14:10.000,52.0,40831.0,https://anaconda.org/conda-forge/jupyter-book,2022-02-22 14:10:17.074,10517.0,2.0,,,,,,,,,,,,,,,,,,,,,,
32,elyra,Elyra extends JupyterLab with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,30,True,elyra,elyra-ai/elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000,2022-03-24 00:27:17.000000,2022-03-23 15:52:00,1534.0,106.0,218.0,45.0,1164.0,227.0,1132.0,1268.0,2022-02-14 17:16:10.000,3.5.3,,6967.0,90.0,36.0,29.0,45.0,https://pypi.org/project/elyra,Apache-2.0,2022-02-09 00:22:13.000,3.0,3920.0,https://anaconda.org/conda-forge/elyra,2022-03-03 16:31:14.739,9754.0,1.0,@elyra/services,https://www.npmjs.com/package/@elyra/services,2022-02-09 00:25:31.007,4.0,2534.0,,,,,,,,,,,,,,,,,
33,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,29,True,jupyter_contrib_nbextensions,ipython-contrib/jupyter_contrib_nbextensions,conda-forge/jupyter_contrib_nbextensions,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000,2021-12-03 07:25:49.000000,2021-04-06 05:51:36,2608.0,,750.0,142.0,824.0,333.0,450.0,4797.0,2019-01-02 12:23:07.000,0.5.1,,366769.0,16.0,251.0,,126.0,https://pypi.org/project/jupyter_contrib_nbextensions,BSD-3-Clause,2018-03-28 11:04:12.000,251.0,348697.0,https://anaconda.org/conda-forge/jupyter_contrib_nbextensions,2021-03-05 08:03:36.764,1210838.0,1.0,,,,,,,,,,,,,,,,,,,,,,
34,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,29,True,RISE,damianavila/RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000,2022-03-21 13:40:56.000000,2022-03-21 13:40:56,747.0,7.0,389.0,80.0,194.0,144.0,283.0,3218.0,2020-10-29 01:31:20.000,5.7.1,,13540.0,29.0,1973.0,1806.0,41.0,https://pypi.org/project/RISE,BSD-3-Clause,2022-03-17 20:35:18.000,167.0,9623.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058,191028.0,2.0,rise-reveal,https://www.npmjs.com/package/rise-reveal,2019-07-03 12:51:16.722,,19.0,,,,,,,,,,,,,,,,,
35,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,29,True,nbdime,jupyter/nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000,2022-03-23 01:53:42.000000,2022-02-28 10:52:19,1954.0,1.0,133.0,46.0,340.0,67.0,220.0,2191.0,2021-10-25 23:48:13.575,2.1.1,,327304.0,27.0,210.0,69.0,35.0,https://pypi.org/project/nbdime,BSD-3-Clause,2021-10-25 23:22:53.000,141.0,248246.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628,464502.0,2.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2021-10-25 23:48:13.575,,71685.0,,,,,,,,,,,,,,,,,
