,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-02-22 08:20:16.000000,2023-02-22 08:20:15,26421.0,236.0,4414.0,769.0,6817.0,1575.0,5567.0,15701.0,2023-02-10 09:51:52.691,8.10.0,319843.0,20053628.0,157.0,404865.0,369233.0,937.0,https://pypi.org/project/ipython,2023-02-10 09:51:52.691,35632.0,19840375.0,https://anaconda.org/conda-forge/ipython,2023-02-10 17:16:06.365,17256785.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-02-23 09:37:42.000000,2023-02-22 19:08:06,19966.0,86.0,4034.0,448.0,5532.0,713.0,6471.0,17259.0,2022-12-09 18:39:04.000,3.0.3,,3556394.0,154.0,3855.0,195.0,635.0,https://pypi.org/project/bokeh,2022-12-20 09:06:57.840,3653.0,3397383.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,10141408.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2023-02-15 19:26:50.604,7.0,14134.0,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-02-23 10:34:29.000000,2023-02-20 17:27:51,13319.0,46.0,4008.0,321.0,2162.0,2041.0,2545.0,10770.0,2022-10-30 06:49:13.880,6.5.2,10804.0,11466883.0,113.0,8865.0,19.0,623.0,https://pypi.org/project/notebook,2023-01-19 08:55:03.912,8846.0,11117927.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,2931795.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-02-20 04:32:51.153954,980.0,29013087.0,,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-02-22 17:38:16.000000,2023-02-22 14:06:18,6666.0,265.0,1873.0,268.0,2069.0,178.0,2077.0,7396.0,2023-01-27 11:55:53.156,3.1.1,,217784.0,69.0,2542.0,2171.0,328.0,https://pypi.org/project/jupyterhub,2023-01-27 11:55:53.156,371.0,177882.0,https://anaconda.org/conda-forge/jupyterhub,2023-01-27 19:38:01.989,853838.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-02-16 18:41:27.199710,324.0,3053576.0,,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-02-22 16:07:44.000000,2023-02-20 19:44:46,3941.0,22.0,511.0,51.0,884.0,483.0,600.0,1447.0,2023-01-24 15:54:06.595,7.2.9,282.0,20544331.0,72.0,200534.0,192190.0,256.0,https://pypi.org/project/nbconvert,2023-01-24 15:54:06.595,8344.0,20415901.0,https://anaconda.org/conda-forge/nbconvert,2023-01-24 20:04:10.828,10530777.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,39,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-02-20 15:19:28.000000,2023-02-16 22:54:28,2821.0,48.0,334.0,34.0,647.0,244.0,222.0,535.0,2023-02-13 15:39:56.000,6.21.2,1160.0,13329905.0,112.0,240624.0,230690.0,165.0,https://pypi.org/project/ipykernel,2022-06-15 16:50:11.000,9899.0,13322942.0,https://anaconda.org/anaconda/ipykernel,2023-01-05 12:19:43.600,600996.0,1.0,,,,,,,,,,,,35.0,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-02-23 12:46:21.000000,2023-02-03 16:41:22,7711.0,42.0,885.0,76.0,1816.0,663.0,1276.0,2713.0,2023-02-09 15:17:27.305,3.1.2,,8266804.0,145.0,15187.0,6084.0,201.0,https://pypi.org/project/ipywidgets,2022-12-22 09:16:06.396,9013.0,8100213.0,https://anaconda.org/conda-forge/ipywidgets,2023-02-10 14:31:42.099,7987109.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-02-09 15:17:27.305,90.0,69188.0,,,,,,,,,,,,,,,,,
8,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-02-22 17:54:43.000000,2023-01-30 17:59:36,1252.0,92.0,1430.0,151.0,615.0,132.0,505.0,10219.0,2023-01-31 11:20:01.127,3.6.6,,1086087.0,40.0,233.0,50.0,108.0,https://pypi.org/project/pandas-profiling,2023-01-31 11:20:01.127,183.0,1081742.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,338983.0,1.0,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,
9,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,37,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-02-23 11:03:45.000000,2023-02-23 09:48:18,2606.0,159.0,320.0,48.0,2177.0,759.0,1592.0,2590.0,2023-01-31 16:20:43.550,0.14.3,,523570.0,256.0,5997.0,5855.0,115.0,https://pypi.org/project/panel,2023-01-31 16:11:18.711,140.0,407975.0,https://anaconda.org/conda-forge/panel,2023-01-31 20:28:59.209,856324.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2023-01-31 16:20:43.550,2.0,99128.0,,,,,,,,,,,,,,,,,
