,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,gem_id,hex_id,docs_url,bitbucket_id
10,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,36,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2024-02-22 18:19:19.000000,2023-11-25 20:30:31,1971.0,,199.0,23.0,262.0,111.0,230.0,391.0,2023-11-15 22:59:37.000,5.5.1,,5647528.0,48.0,174574.0,168182.0,122.0,https://pypi.org/project/qtconsole,2023-11-15 22:59:37.000,6392.0,5544366.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4642333.0,1.0,,,,,,,,,,,,,,,,,,,,,
11,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,35,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2024-03-24 23:07:40.000000,2024-03-24 22:59:09,2447.0,28.0,376.0,71.0,567.0,119.0,538.0,6389.0,2024-01-13 17:14:35.000,1.16.1,,635565.0,100.0,7031.0,7031.0,85.0,https://pypi.org/project/jupytext,,,612116.0,https://anaconda.org/conda-forge/jupytext,2024-01-13 18:58:26.560,764568.0,1.0,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,,,6459.0,,,,,,,,,,,,,,,,
12,evidently,Evaluate and monitor ML models from validation to production. Join our Discord: https://discord.com/invite/xZjKRaNp8b.,https://github.com/evidentlyai/evidently,,widgets,35,True,evidently,evidentlyai/evidently,conda-forge/evidently,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2024-03-28 10:53:17.000000,2024-03-28 10:53:16,2002.0,69.0,509.0,45.0,705.0,143.0,200.0,4555.0,2024-03-15 19:29:06.000,0.4.17,23.0,1178873.0,96.0,3204.0,3196.0,62.0,https://pypi.org/project/evidently,2024-03-15 19:28:47.000,8.0,1178415.0,https://anaconda.org/conda-forge/evidently,2024-02-09 20:04:35.286,14210.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,35,True,nbformat,jupyter/nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2024-03-15 11:33:10.142000,2024-03-15 10:06:49,1049.0,9.0,151.0,26.0,254.0,66.0,82.0,242.0,2024-03-15 10:07:15.000,5.10.3,248.0,24906255.0,42.0,282714.0,273649.0,80.0,https://pypi.org/project/nbformat,2024-03-15 10:06:59.000,9062.0,24417349.0,https://anaconda.org/conda-forge/nbformat,2024-03-15 11:33:10.142,21505227.0,1.0,nbformat-schema,https://www.npmjs.com/package/nbformat-schema,2024-03-15 10:07:12.227,3.0,145.0,,,,,,,,,,,,,,,,
14,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,34,True,jupyter-book,executablebooks/jupyter-book,conda-forge/jupyter-book,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2024-03-25 16:34:35.000000,2024-03-11 09:38:53,1529.0,40.0,607.0,60.0,764.0,593.0,743.0,3658.0,2024-01-26 21:10:26.000,1.0.0,,93188.0,43.0,13118.0,13118.0,137.0,https://pypi.org/project/jupyter-book,,,89808.0,https://anaconda.org/conda-forge/jupyter-book,2024-02-21 13:26:30.376,125062.0,1.0,,,,,,,,,,,,,,,,,,,,,
15,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,34,True,jupyter-client,jupyter/jupyter_client,conda-forge/jupyter_client,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2024-03-25 11:45:32.000000,2024-03-12 11:58:46,2597.0,6.0,270.0,34.0,644.0,190.0,198.0,352.0,2024-03-12 11:59:02.000,8.6.1,1540.0,30438478.0,94.0,2460.0,,131.0,https://pypi.org/project/jupyter-client,2024-03-12 11:58:55.000,2460.0,29962371.0,https://anaconda.org/conda-forge/jupyter_client,2024-03-12 15:19:45.712,20946580.0,1.0,,,,,,,,,,,,,,,,,,,,,
16,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,33,True,,jupyter/docker-stacks,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2024-03-27 18:50:59.000000,2024-03-26 01:12:59,3710.0,59.0,2986.0,191.0,1224.0,11.0,869.0,8158.0,,,,870190.0,,21.0,21.0,245.0,,,,,,,,2.0,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2023-10-20 20:03:34.298948,442.0,90499795.0,,,7.0,,,,,,,,
17,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,33,True,papermill,nteract/papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2024-03-13 18:59:04.000000,2024-02-08 22:25:17,980.0,8.0,405.0,92.0,386.0,135.0,257.0,5594.0,2023-11-01 22:59:26.000,2.5.0,,1452529.0,74.0,6044.0,5793.0,117.0,https://pypi.org/project/papermill,2023-11-01 22:59:26.000,251.0,1439983.0,https://anaconda.org/conda-forge/papermill,2024-02-29 00:34:38.538,564611.0,1.0,,,,,,,,,,,,,,,,,,,,,
18,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,33,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,BSD-3-Clause,2018-08-21 14:21:42.000,2024-03-27 08:45:54.000000,2024-03-27 08:45:53,1446.0,7.0,487.0,77.0,731.0,290.0,428.0,5162.0,2023-10-31 09:04:25.000,0.5.5,1053.0,81381.0,102.0,11006.0,10915.0,68.0,https://pypi.org/project/voila,2023-10-31 09:04:11.000,88.0,73438.0,https://anaconda.org/conda-forge/voila,2023-10-31 12:26:37.734,323864.0,2.0,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,3.0,197.0,,,,,,,,,,,,,,,,
19,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,33,True,nikola,getnikola/nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2024-03-02 18:00:17.000000,2024-03-02 18:00:17,10409.0,26.0,441.0,79.0,1554.0,62.0,2109.0,2539.0,2024-01-10 20:52:22.000,8.3.0,103.0,2646.0,79.0,508.0,508.0,239.0,https://pypi.org/project/nikola,,,2646.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
20,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,33,True,ipyleaflet,jupyter-widgets/ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-03-28 12:36:49.000000,2024-03-01 15:29:40,1173.0,8.0,346.0,66.0,599.0,235.0,349.0,1448.0,2024-01-23 17:51:37.000,0.18.2,,180371.0,70.0,7878.0,7878.0,88.0,https://pypi.org/project/ipyleaflet,,,145653.0,https://anaconda.org/conda-forge/ipyleaflet,2024-01-23 20:31:49.209,1109280.0,1.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,,,10604.0,,,,,,,,,,,,,,,,
21,xonsh,"Python-powered, cross-platform, Unix-gazing shell.",https://github.com/xonsh/xonsh,,kernels,32,False,xonsh,xonsh/xonsh,,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh/blob/main/license,2015-01-21 22:05:27.000,2024-03-25 19:28:01.000000,2024-03-25 19:28:00,10521.0,38.0,614.0,104.0,2616.0,290.0,2218.0,7912.0,2024-03-07 15:12:54.000,0.15.1,9833.0,39615.0,128.0,100.0,,325.0,https://pypi.org/project/xonsh,2024-03-07 15:12:54.000,100.0,39505.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,VSCode Jupyter,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,32,True,,microsoft/vscode-jupyter,conda-forge/vscode-jupyter,https://github.com/microsoft/vscode-jupyter,MIT,2020-09-10 23:39:14.000,2024-03-27 16:26:03.000000,2024-03-27 16:26:02,8693.0,152.0,258.0,43.0,4433.0,382.0,9329.0,1201.0,2024-02-28 17:55:49.000,2024.2.0,,1793.0,34.0,3.0,3.0,269.0,,,,,https://anaconda.org/conda-forge/vscode-jupyter,2023-06-16 19:25:09.142,64581.0,2.0,,,,,,,,,,,,,,,,,,,,,
23,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,32,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2024-03-14 18:45:24.000000,2024-03-14 18:45:23,12734.0,30.0,258.0,38.0,968.0,150.0,280.0,439.0,2024-03-04 12:06:42.000,2.13.0,2736.0,27698017.0,108.0,,,521.0,https://pypi.org/project/jupyter_server,,,27451918.0,https://anaconda.org/conda-forge/jupyter_server,2024-03-04 14:54:19.683,10333113.0,3.0,,,,,,,,,,,,,,,,,,,,,
24,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,31,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,2016-06-03 20:09:17.000,2024-03-25 14:28:18.000000,,,,3022.0,,,2442.0,,13701.0,2024-03-14 17:14:52.988,4.1.5,,19506240.0,517.0,2953.0,,481.0,https://pypi.org/project/jupyterlab,2024-03-25 11:44:11.000,2563.0,19010703.0,https://anaconda.org/conda-forge/jupyterlab,2024-03-25 13:24:40.707,9894096.0,2.0,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2024-03-25 11:52:41.568,390.0,280448.0,,,,,,,,,,,,,,,,
25,Perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",https://github.com/finos/perspective,,lab-extensions,31,True,perspective-python,finos/perspective,conda-forge/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2024-03-26 20:17:11.439000,2024-03-26 15:14:29,5965.0,99.0,968.0,112.0,1630.0,98.0,639.0,7448.0,2024-03-25 22:52:24.000,2.10.0,2485.0,18705.0,121.0,138.0,117.0,93.0,https://pypi.org/project/perspective-python,2024-03-25 22:45:59.000,17.0,5380.0,https://anaconda.org/conda-forge/perspective,2024-03-26 20:17:11.439,529639.0,1.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2024-03-25 22:45:31.297,4.0,1246.0,,,,,,,,,,,,,,,,
26,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,31,True,nteract_on_jupyter,nteract/nteract,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2023-12-30 16:09:02.000000,2023-12-30 16:09:02,11273.0,1.0,552.0,150.0,3990.0,190.0,1522.0,6145.0,2021-10-22 17:46:48.907,7.0.20,1496630.0,79255.0,94.0,45.0,3.0,180.0,https://pypi.org/project/nteract_on_jupyter,2019-07-16 03:59:16.000,5.0,911.0,,,,2.0,@nteract/messaging,https://www.npmjs.com/package/@nteract/messaging,2021-10-22 17:46:48.907,37.0,62423.0,,,,,,,,,,,,,,,,
27,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,31,False,jupyter_contrib_nbextensions,ipython-contrib/jupyter_contrib_nbextensions,conda-forge/jupyter_contrib_nbextensions,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,BSD-3-Clause,2013-07-13 17:05:16.000,2024-03-21 14:05:18.000000,2022-12-21 19:56:24,2660.0,,803.0,135.0,852.0,352.0,462.0,5163.0,2022-11-15 17:33:00.905,0.7.0,,516193.0,18.0,273.0,20.0,135.0,https://pypi.org/project/jupyter_contrib_nbextensions,2022-11-15 17:33:00.905,253.0,495352.0,https://anaconda.org/conda-forge/jupyter_contrib_nbextensions,2023-06-16 13:22:12.750,1896559.0,1.0,,,,,,,,,,,,,,,,,,,,,
28,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,31,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-03-16 23:51:50.000000,2024-03-06 14:52:20,787.0,13.0,374.0,74.0,285.0,60.0,508.0,4514.0,2024-03-07 14:03:25.000,3.11.0,,70659.0,181.0,1084.0,1061.0,30.0,https://pypi.org/project/dtale,2024-03-07 14:02:27.000,23.0,64852.0,https://anaconda.org/conda-forge/dtale,2024-03-07 14:28:38.963,267159.0,2.0,,,,,,,,,,,,,,,,,,,,,
29,ipyparallel,IPython Parallel: Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,31,False,ipyparallel,ipython/ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,,2015-04-09 07:43:55.000,2024-03-18 14:51:34.000000,2024-03-18 14:51:33,2902.0,43.0,1055.0,122.0,513.0,61.0,299.0,2541.0,2024-03-04 11:18:50.000,8.7.0,,313130.0,46.0,309.0,,113.0,https://pypi.org/project/ipyparallel,2024-03-04 11:18:50.000,309.0,289477.0,https://anaconda.org/conda-forge/ipyparallel,2024-03-04 15:06:17.077,969802.0,1.0,,,,,,,,,,,,,,,,,,,,,
30,JupyterLab LSP,Coding assistance for JupyterLab (code navigation + hover suggestions + linters + autocompletion + rename) using..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,31,True,jupyterlab-lsp,jupyter-lsp/jupyterlab-lsp,conda-forge/jupyter-lsp,https://github.com/jupyter-lsp/jupyterlab-lsp,BSD-3-Clause,2019-08-17 11:34:22.000,2024-03-17 00:47:46.000000,2024-03-05 12:20:01,2941.0,76.0,137.0,20.0,528.0,181.0,367.0,1711.0,2024-03-05 12:26:52.000,jupyter-lsp-2.2.4,,82691.0,67.0,1880.0,1850.0,52.0,https://pypi.org/project/jupyterlab-lsp,2024-02-26 15:39:40.000,25.0,48202.0,https://anaconda.org/conda-forge/jupyter-lsp,2024-03-05 21:11:09.300,1397310.0,1.0,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,2022-08-26 15:27:01.064,5.0,1220.0,,,,,,,,,,,,,,,,
31,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,31,True,ipympl,matplotlib/ipympl,conda-forge/ipympl,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2024-03-15 14:11:55.000000,2024-03-15 14:10:06,517.0,7.0,224.0,39.0,253.0,150.0,160.0,1514.0,2023-02-15 19:39:15.846,0.11.3,,312120.0,49.0,10894.0,10692.0,33.0,https://pypi.org/project/ipympl,2023-02-15 19:26:01.770,198.0,285649.0,https://anaconda.org/conda-forge/ipympl,2023-06-16 13:22:32.078,1538934.0,2.0,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2023-02-15 19:39:15.846,4.0,8577.0,,,,,,,,,,,,,,,,
32,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,31,True,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2024-02-21 08:05:02.000000,2024-02-21 08:05:01,1886.0,2.0,293.0,39.0,702.0,96.0,495.0,1375.0,2023-11-21 14:39:09.000,0.50.0,180.0,160909.0,78.0,2698.0,2660.0,94.0,https://pypi.org/project/jupyterlab-git,2023-11-21 14:38:56.000,31.0,132251.0,https://anaconda.org/conda-forge/jupyterlab-git,2024-02-07 14:03:02.767,528713.0,1.0,@jupyterlab/git,https://www.npmjs.com/package/@jupyterlab/git,2023-11-21 14:38:51.510,7.0,16905.0,,,,,,,,,,,,,,,,
33,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,31,True,nbclient,jupyter/nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2024-03-13 08:16:55.142000,2024-03-13 00:25:11,382.0,7.0,53.0,11.0,205.0,41.0,70.0,135.0,2024-03-13 00:25:28.000,0.10.0,435.0,20338021.0,41.0,155545.0,155340.0,38.0,https://pypi.org/project/nbclient,2024-03-13 00:25:21.000,205.0,20030794.0,https://anaconda.org/conda-forge/nbclient,2024-03-13 08:16:55.142,13824596.0,1.0,,,,,,,,,,,,,,,,,,,,,
34,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,30,True,bqplot,bqplot/bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2024-03-25 09:04:27.051000,2024-03-25 08:55:18,3659.0,3.0,459.0,101.0,1047.0,255.0,368.0,3544.0,2024-02-27 15:38:38.000,0.12.43,,156613.0,112.0,180.0,55.0,64.0,https://pypi.org/project/bqplot,2024-03-25 09:03:21.000,108.0,125401.0,https://anaconda.org/conda-forge/bqplot,2024-02-19 16:46:43.025,1267737.0,2.0,bqplot,https://www.npmjs.com/package/bqplot,2024-03-25 09:04:27.051,17.0,3653.0,,,,,,,,,,,,,,,,
35,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,30,True,ipython-sql,catherinedevlin/ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2024-03-27 15:24:21.000000,2023-04-21 20:49:35,292.0,,297.0,49.0,98.0,111.0,43.0,1757.0,2023-02-27 00:06:57.430,0.5.0,,190006.0,19.0,6229.0,6161.0,55.0,https://pypi.org/project/ipython-sql,2023-02-27 00:06:57.430,68.0,187227.0,https://anaconda.org/conda-forge/ipython-sql,2023-06-16 13:23:09.898,252910.0,1.0,,,,,,,,,,,,,,,,,,,,,
36,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,30,True,sparkmagic,jupyter-incubator/sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,BSD-3-Clause,2015-09-21 15:35:25.000,2024-03-15 17:29:37.000000,2024-03-13 23:16:34,1367.0,16.0,436.0,49.0,454.0,151.0,300.0,1281.0,2023-09-13 15:53:21.000,0.21.0,,57182.0,56.0,358.0,336.0,64.0,https://pypi.org/project/sparkmagic,2023-09-13 15:53:21.000,22.0,54454.0,https://anaconda.org/conda-forge/sparkmagic,2023-09-23 23:23:29.586,114589.0,1.0,,,,,,,,,,,,,,,,,,,,,
