,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-04-13 07:06:37.000000,2023-04-13 07:06:37,26507.0,187.0,4421.0,767.0,6847.0,1596.0,5579.0,15777.0,2023-03-30 12:06:25.403,8.12.0,319994.0,21564264.0,159.0,420777.0,384845.0,943.0,https://pypi.org/project/ipython,2023-02-28 12:18:18.756,35932.0,21340533.0,https://anaconda.org/conda-forge/ipython,2023-03-30 14:28:51.782,18561807.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-04-13 13:54:27.000000,2023-04-12 07:37:20,20079.0,166.0,4080.0,447.0,5677.0,700.0,6573.0,17465.0,2023-03-10 15:54:05.466,3.1.0,,3678771.0,160.0,3894.0,208.0,649.0,https://pypi.org/project/bokeh,2022-12-20 09:06:57.840,3679.0,3516997.0,https://anaconda.org/conda-forge/bokeh,2023-03-14 12:50:41.968,10749963.0,1.0,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2023-03-10 15:53:07.531,7.0,12469.0,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-04-10 05:32:54.176490,2023-04-05 21:28:09,13350.0,59.0,4059.0,323.0,2201.0,2066.0,2571.0,10958.0,2023-04-06 15:08:23.000,6.5.4,11725.0,11613027.0,121.0,8905.0,20.0,628.0,https://pypi.org/project/notebook,2023-03-06 07:21:22.622,8885.0,11266503.0,https://anaconda.org/conda-forge/jupyter,2022-12-05 14:25:36.477,3143677.0,1.0,,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-04-10 05:32:54.176490,1002.0,29227708.0,,,,,,,,,,,
4,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-04-08 21:46:54.000000,2023-04-07 14:00:22,6749.0,226.0,1890.0,268.0,2094.0,183.0,2093.0,7473.0,2023-01-27 11:55:53.156,3.1.1,,196960.0,71.0,2613.0,2231.0,330.0,https://pypi.org/project/jupyterhub,2023-01-27 11:55:53.156,382.0,149197.0,https://anaconda.org/conda-forge/jupyterhub,2023-01-27 19:38:01.989,890275.0,1.0,,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-04-07 14:23:10.303823,324.0,3925927.0,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-04-05 14:54:33.000000,2023-03-28 15:25:44,7737.0,48.0,905.0,74.0,1842.0,682.0,1284.0,2760.0,2023-03-28 15:12:19.903,5.0.7,,8620676.0,149.0,15773.0,6582.0,203.0,https://pypi.org/project/ipywidgets,2023-02-09 15:26:52.301,9099.0,8452020.0,https://anaconda.org/conda-forge/ipywidgets,2023-03-28 23:13:54.549,8719209.0,1.0,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-03-28 15:12:19.903,92.0,64856.0,,,,,,,,,,,,,,,,
6,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-04-12 08:19:27.000000,2023-04-10 13:58:09,3952.0,19.0,517.0,51.0,893.0,496.0,606.0,1476.0,2023-04-10 14:00:05.709,7.3.1,350.0,15973133.0,75.0,208009.0,199518.0,259.0,https://pypi.org/project/nbconvert,2023-01-24 15:54:06.595,8491.0,15837863.0,https://anaconda.org/conda-forge/nbconvert,2023-04-10 14:35:54.580,11362143.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-04-13 07:09:23.000000,2023-04-12 18:43:55,2741.0,228.0,329.0,48.0,2276.0,684.0,1659.0,2684.0,2023-03-04 22:12:04.000,0.14.4,,465423.0,276.0,6480.0,6330.0,117.0,https://pypi.org/project/panel,2023-01-31 16:11:18.711,148.0,366644.0,https://anaconda.org/conda-forge/panel,2023-03-04 01:00:48.930,928516.0,1.0,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2023-04-12 19:12:19.582,2.0,81585.0,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-04-04 15:54:50.000000,2023-04-04 15:54:44,2829.0,22.0,337.0,35.0,652.0,252.0,226.0,546.0,2023-03-20 14:41:55.000,6.22.0,1308.0,14542791.0,115.0,251918.0,241918.0,166.0,https://pypi.org/project/ipykernel,2023-03-06 14:15:18.391,9964.0,14535406.0,https://anaconda.org/anaconda/ipykernel,2023-03-16 14:07:27.803,652339.0,1.0,,,,,,,,,,,,36.0,,,,,,,,,,
9,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-04-12 15:39:28.000000,2023-03-28 07:48:22,1275.0,61.0,1461.0,149.0,635.0,144.0,512.0,10464.0,2023-03-28 08:01:52.000,4.1.2,,1067156.0,43.0,444.0,259.0,108.0,https://pypi.org/project/pandas-profiling,2023-01-31 11:20:01.127,185.0,1062720.0,https://anaconda.org/conda-forge/pandas-profiling,2023-01-25 18:19:12.193,354955.0,1.0,,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,
