,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,gem_id,hex_id,bitbucket_id
36,sos,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,30,True,sos-notebook,vatlab/SOS,conda-forge/sos,https://github.com/vatlab/sos,2016-02-13 00:46:46.000,2022-05-16 18:08:14.000000,2022-05-16 18:08:10,7570.0,65.0,31.0,7.0,63.0,61.0,1366.0,227.0,2022-04-09 05:07:36.000,0.23.3,,3686.0,162.0,2188.0,2155.0,36.0,https://pypi.org/project/sos-notebook,BSD-3-Clause,2022-04-09 05:07:36.000,33.0,1166.0,https://anaconda.org/conda-forge/sos,2022-05-08 16:48:44.718,103326.0,2.0,,,,,,,,,,,,,,,,,,,,,,
37,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,29,True,nbdime,jupyter/nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000,2022-04-18 08:42:27.000000,2022-04-18 08:42:26,1958.0,5.0,133.0,45.0,340.0,67.0,221.0,2226.0,2021-10-26 00:11:36.407,1.0.1,,308617.0,27.0,213.0,72.0,37.0,https://pypi.org/project/nbdime,BSD-3-Clause,2021-10-25 23:22:53.000,141.0,244568.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628,509731.0,2.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2021-10-26 00:11:36.407,,56207.0,,,,,,,,,,,,,,,,,
38,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,29,True,ipython-sql,catherinedevlin/ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000,2022-05-02 23:51:33.000000,2022-05-02 23:51:32,258.0,3.0,237.0,49.0,71.0,102.0,38.0,1519.0,2020-05-02 15:29:58.000,0.4.0,,115025.0,17.0,3123.0,3056.0,46.0,https://pypi.org/project/ipython-sql,MIT,2020-05-02 15:29:58.000,67.0,112928.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,144712.0,1.0,,,,,,,,,,,,,,,,,,,,,,
39,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,29,True,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000,2022-04-29 05:31:13.000000,2022-04-29 05:31:12,1770.0,27.0,233.0,38.0,586.0,90.0,433.0,1085.0,2022-04-26 06:32:46.362,0.37.1,,165626.0,60.0,38.0,14.0,73.0,https://pypi.org/project/jupyterlab-git,BSD-3-Clause,2022-04-26 06:31:56.000,20.0,124851.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-04-26 12:22:32.707,156091.0,1.0,@jupyterlab/git,https://www.npmjs.com/package/@jupyterlab/git,2022-04-26 06:32:46.362,4.0,36968.0,,,,,,,,,,,,,,,,,
40,jupyter-dash,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,29,True,jupyter-dash,plotly/jupyter-dash,conda-forge/jupyter-dash,https://github.com/plotly/jupyter-dash,2020-04-26 18:43:59.000,2022-04-26 19:45:43.000000,2022-04-26 19:45:43,149.0,22.0,197.0,32.0,32.0,40.0,21.0,735.0,2022-04-01 20:13:44.000,0.4.2,76.0,120640.0,14.0,1551.0,1518.0,10.0,https://pypi.org/project/jupyter-dash,MIT,2022-04-01 20:05:08.000,33.0,99853.0,https://anaconda.org/conda-forge/jupyter-dash,2022-04-02 17:05:39.218,125473.0,2.0,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,2021-01-22 17:06:54.671,,13814.0,,,,,,,,,,,,,,,,,
41,jupyter-console,Jupyter Terminal Console.,https://github.com/jupyter/jupyter_console,,others,29,True,jupyter-console,jupyter/jupyter_console,conda-forge/jupyter_console,https://github.com/jupyter/jupyter_console,2015-04-09 06:58:55.000,2022-03-07 16:17:05.852000,2022-03-07 16:00:25,581.0,13.0,131.0,26.0,124.0,57.0,88.0,191.0,2022-03-07 16:01:45.000,6.4.3,30.0,4926742.0,19.0,71.0,,58.0,https://pypi.org/project/jupyter-console,BSD-3-Clause,2022-03-07 16:01:39.000,71.0,4895809.0,https://anaconda.org/conda-forge/jupyter_console,2022-03-07 16:17:05.852,2257024.0,2.0,,,,,,,,,,,,,,,,,,,,,,
42,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,28,False,,jupyterlab/debugger,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000,2022-05-19 07:33:37.118000,2021-03-31 14:20:34,1174.0,,2337.0,21.0,322.0,31.0,245.0,12046.0,2022-05-13 00:55:55.462,3.4.2,,95915.0,165.0,2.0,,11.0,,BSD-3-Clause,,,,,,,1.0,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2022-05-19 07:33:37.118,2.0,95915.0,,,,,,,,,,,,,,,,,
43,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,28,True,jupyterthemes,dunovank/jupyter-themes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000,2022-02-03 18:32:35.000000,2022-02-03 18:32:34,636.0,,1014.0,160.0,76.0,205.0,197.0,9092.0,2018-11-22 17:02:16.000,0.20.0,,35102.0,116.0,99.0,,43.0,https://pypi.org/project/jupyterthemes,MIT,2018-11-22 17:02:16.000,99.0,35102.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
44,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,28,False,beakerx,twosigma/beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000,2021-12-16 15:02:23.000000,2021-01-21 14:02:57,1689.0,,381.0,127.0,3797.0,346.0,4174.0,2657.0,2021-12-16 15:02:23.000,2.3.11,31.0,17065.0,53.0,23.0,,81.0,https://pypi.org/project/beakerx,Apache-2.0,2021-12-16 15:02:23.000,22.0,5040.0,https://anaconda.org/conda-forge/beakerx,2021-11-18 19:15:17.218,506128.0,2.0,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776,1.0,564.0,,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,23.0,244788.0,,,,,,,,,,,
45,repo2docker,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,28,True,jupyter-repo2docker,jupyterhub/repo2docker,,https://github.com/jupyterhub/repo2docker,2017-05-09 08:36:30.000,2022-05-03 14:06:05.000000,2022-05-02 07:27:54,2329.0,18.0,305.0,45.0,687.0,169.0,321.0,1338.0,2022-02-06 14:43:19.000,2022.02.0,,2704.0,18.0,178.0,153.0,107.0,https://pypi.org/project/jupyter-repo2docker,BSD-3-Clause,2022-02-06 14:20:14.000,25.0,2704.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
46,JupyterLab LSP,Coding assistance for JupyterLab (code navigation + hover suggestions + linters + autocompletion + rename) using..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,28,True,jupyterlab-lsp,jupyter-lsp/jupyterlab-lsp,conda-forge/jupyter-lsp,https://github.com/jupyter-lsp/jupyterlab-lsp,2019-08-17 11:34:22.000,2022-05-08 21:03:20.000000,2022-05-08 21:03:20,2361.0,31.0,101.0,18.0,395.0,158.0,261.0,1253.0,2022-03-21 19:31:19.000,3.10.1,,24981.0,66.0,161.0,154.0,39.0,https://pypi.org/project/jupyterlab-lsp,BSD-3-Clause,2022-03-21 19:12:23.000,5.0,17183.0,https://anaconda.org/conda-forge/jupyter-lsp,2021-12-12 16:35:34.220,38843.0,1.0,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,2022-03-21 19:22:11.218,2.0,5856.0,,,,,,,,,,,,,,,,,
47,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,28,True,nbgrader,jupyter/nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,2014-09-13 03:27:36.000,2022-05-19 09:19:47.000000,2022-05-18 14:15:39,3098.0,75.0,304.0,44.0,796.0,203.0,592.0,1084.0,2022-05-07 06:34:44.000,0.7.0,,5573.0,25.0,17.0,,90.0,https://pypi.org/project/nbgrader,BSD-3-Clause,2022-05-07 06:31:28.000,17.0,3862.0,https://anaconda.org/conda-forge/nbgrader,2022-05-07 17:45:25.270,109561.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
48,Stencila,"Author, collaborate on, and publish beautiful interactive documents.",https://github.com/stencila/stencila,,notebook-sharing,28,True,,stencila/stencila,,https://github.com/stencila/stencila,2012-05-31 02:43:31.000,2022-05-19 00:32:13.000000,2022-05-19 00:15:41,9299.0,460.0,39.0,24.0,886.0,77.0,495.0,635.0,2022-05-19 00:15:45.000,1.10.0,3064.0,648.0,100.0,25.0,17.0,32.0,,Apache-2.0,,,,,,,2.0,stencila,https://www.npmjs.com/package/stencila,2020-11-06 15:20:04.059,8.0,205.0,,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16459.0,,,,,,,,,,,
49,VSCode Jupyter,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,28,True,,microsoft/vscode-jupyter,conda-forge/vscode-jupyter,https://github.com/microsoft/vscode-jupyter,2020-09-10 23:39:14.000,2022-05-19 08:22:56.000000,2022-05-19 04:49:48,6871.0,280.0,129.0,37.0,2160.0,673.0,6539.0,619.0,2022-05-03 22:22:13.000,2022.4.100,,1820.0,24.0,,,248.0,,MIT,,,,https://anaconda.org/conda-forge/vscode-jupyter,2022-04-12 12:37:00.421,25486.0,3.0,,,,,,,,,,,,,,,,,,,,,,
50,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,28,True,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,2014-09-23 21:37:06.000,2022-05-17 06:01:18.000000,2022-05-17 06:01:18,992.0,38.0,305.0,23.0,283.0,31.0,188.0,339.0,2021-07-19 12:33:35.000,14.1.0,,37342.0,28.0,308.0,267.0,106.0,https://pypi.org/project/oauthenticator,BSD-3-Clause,2021-08-10 12:09:46.000,41.0,36758.0,https://anaconda.org/conda-forge/oauthenticator,2021-07-19 15:40:38.273,21608.0,1.0,,,,,,,,,,,,,,,,,,,,,,
51,JupyterLab TOC,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,27,True,,jupyterlab/jupyterlab-toc,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000,2022-05-19 07:36:21.514000,2021-08-10 23:33:21,523.0,,2337.0,29.0,62.0,64.0,51.0,12046.0,2022-05-13 00:58:17.006,5.4.2,,103805.0,156.0,6.0,,14.0,,BSD-3-Clause,,,,,,,1.0,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,2022-05-19 07:36:21.514,6.0,103805.0,,,,,,,,,,,,,,,,,
52,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,27,True,facets-overview,pair-code/facets,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000,2021-11-29 10:48:23.000000,2021-05-06 12:01:05,264.0,,834.0,275.0,93.0,76.0,76.0,6848.0,2019-07-24 15:57:06.000,1.0.0,,280329.0,4.0,118.0,114.0,28.0,https://pypi.org/project/facets-overview,Apache-2.0,2019-07-24 15:57:06.000,4.0,280329.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
53,Knowledge Repo,A next-generation curated knowledge sharing platform for data scientists and other technical professions.,https://github.com/airbnb/knowledge-repo,,notebook-sharing,27,True,knowledge-repo,airbnb/knowledge-repo,,https://github.com/airbnb/knowledge-repo,2016-08-17 23:32:50.000,2022-05-11 01:52:22.000000,2022-05-11 01:52:21,979.0,372.0,692.0,184.0,376.0,122.0,166.0,5090.0,2022-04-20 02:55:58.000,0.9.1,,555.0,31.0,1.0,,67.0,https://pypi.org/project/knowledge-repo,Apache-2.0,2022-04-20 02:55:58.000,1.0,555.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
54,lux,Automatically visualize your pandas dataframe via a single print!.,https://github.com/lux-org/lux,,widgets,27,True,lux-api,lux-org/lux,conda-forge/lux-api,https://github.com/lux-org/lux,2020-01-08 04:53:29.000,2022-05-02 20:13:15.000000,2022-05-02 20:13:15,689.0,7.0,299.0,78.0,257.0,66.0,158.0,3889.0,2022-02-19 00:48:20.000,0.5.1,,30938.0,18.0,91.0,91.0,20.0,https://pypi.org/project/lux-api,Apache-2.0,2022-02-19 00:46:49.000,,29789.0,https://anaconda.org/conda-forge/lux-api,2022-02-22 06:05:22.978,4493.0,2.0,luxwidget,https://www.npmjs.com/package/luxwidget,2022-02-17 19:41:18.102,,850.0,,,,,,,,,,,,,,,,,
55,PixieDust,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,27,False,pixiedust,pixiedust/pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,2016-07-01 17:34:14.000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41,2157.0,,162.0,41.0,374.0,164.0,260.0,1030.0,2021-02-01 03:34:36.000,1.1.19,,9839.0,92.0,263.0,234.0,33.0,https://pypi.org/project/pixiedust,Apache-2.0,2021-02-01 03:34:36.000,29.0,8643.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331,35901.0,2.0,,,,,,,,,,,,,,,,,,,,,,
56,qgrid,"An interactive grid for sorting, filtering, and editing DataFrames in Jupyter notebooks.",https://github.com/quantopian/qgrid,,widgets,26,False,qgrid,quantopian/qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,2014-09-30 04:33:20.000,2022-03-15 15:20:24.000000,2020-04-07 18:56:49,405.0,,382.0,89.0,102.0,152.0,125.0,2848.0,2020-04-07 16:43:54.000,1.3.1,,47254.0,73.0,82.0,,30.0,https://pypi.org/project/qgrid,Apache-2.0,2020-04-07 16:43:54.000,81.0,39627.0,https://anaconda.org/conda-forge/qgrid,2021-03-04 10:14:48.336,337731.0,2.0,qgrid,https://www.npmjs.com/package/qgrid,2018-07-11 05:36:40.781,1.0,1005.0,,,,,,,,,,,,,,,,,
57,ipyregulartable,"High performance, editable, stylable datagrids in jupyter and jupyterlab.",https://github.com/jpmorganchase/ipyregulartable,,widgets,26,True,ipyregulartable,jpmorganchase/ipyregulartable,conda-forge/ipyregulartable,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000,2022-04-09 13:34:22.000000,2022-04-09 13:34:21,158.0,17.0,808.0,5.0,54.0,10.0,15.0,2449.0,2022-03-16 07:13:18.887,3.1.0,,104690.0,100.0,86.0,9.0,5.0,https://pypi.org/project/ipyregulartable,Apache-2.0,2021-01-08 04:41:11.000,,92.0,https://anaconda.org/conda-forge/ipyregulartable,2021-01-08 13:11:27.537,2092.0,2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-03-16 07:13:18.887,77.0,104482.0,,,,,,,,,,,,,,,,,
58,ipydagred3,ipywidgets library for drawing directed acyclic graphs in jupyterlab using dagre-d3.,https://github.com/timkpaine/ipydagred3,,widgets,26,True,ipydagred3,timkpaine/ipydagred3,conda-forge/ipydagred3,https://github.com/timkpaine/ipydagred3,2020-02-29 23:01:15.000,2022-05-07 03:39:00.452000,2022-05-06 22:41:11,245.0,77.0,808.0,2.0,60.0,3.0,16.0,2449.0,2022-05-06 22:45:47.000,0.3.6,,105082.0,100.0,89.0,11.0,3.0,https://pypi.org/project/ipydagred3,Apache-2.0,2022-05-06 22:43:10.000,1.0,421.0,https://anaconda.org/conda-forge/ipydagred3,2022-05-07 03:39:00.452,4307.0,2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-03-16 07:13:18.887,77.0,104482.0,,,,,,,,,,,,,,,,,
59,ipyvolume,3d plotting for Python in the Jupyter notebook based on IPython widgets using WebGL.,https://github.com/widgetti/ipyvolume,,widgets,26,True,ipyvolume,maartenbreddels/ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,2016-12-21 15:30:13.000,2022-02-23 14:32:16.000000,2021-11-01 12:36:42,970.0,,221.0,53.0,114.0,167.0,128.0,1754.0,2019-07-07 19:46:13.862,0.5.2,,43794.0,48.0,820.0,768.0,39.0,https://pypi.org/project/ipyvolume,MIT,2021-10-29 20:42:04.000,49.0,35506.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451,353845.0,2.0,ipyvolume,https://www.npmjs.com/package/ipyvolume,2021-10-29 20:42:48.194,3.0,2672.0,,,,,,,widgetti/ipyvolume,,,,,,,,,,
60,DataLab,Interactive tools and developer experiences for Big Data on Google Cloud Platform.,https://github.com/googledatalab/datalab,,notebook-environments,26,True,datalab,googledatalab/datalab,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000,2022-03-18 08:36:18.000000,2021-08-16 17:52:48,2054.0,,255.0,82.0,1292.0,228.0,667.0,976.0,2021-08-16 19:04:35.000,1.2.20210816,,46433.0,19.0,12.0,,52.0,https://pypi.org/project/datalab,Apache-2.0,2020-03-25 23:36:46.000,12.0,46433.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
61,pythreejs,A Jupyter - Three.js bridge.,https://github.com/jupyter-widgets/pythreejs,,widgets,26,True,pythreejs,jupyter-widgets/pythreejs,conda-forge/pythreejs,https://github.com/jupyter-widgets/pythreejs,2013-12-23 17:02:11.000,2022-04-21 23:39:08.000000,2021-12-06 21:48:19,1667.0,,175.0,41.0,164.0,73.0,144.0,812.0,2021-02-26 14:01:21.000,2.3.0,,58933.0,43.0,64.0,19.0,29.0,https://pypi.org/project/pythreejs,BSD-3-Clause,2021-02-26 14:01:21.000,38.0,48114.0,https://anaconda.org/conda-forge/pythreejs,2021-03-02 13:32:39.505,381928.0,2.0,jupyter-threejs,https://www.npmjs.com/package/jupyter-threejs,2021-02-26 13:59:06.062,7.0,5515.0,,,,,,,,,,,,,,,,,
62,responsible-ai-widgets,"This project provides responsible AI user interfaces for Fairlearn, interpret-community, and Error Analysis, as well..",https://github.com/microsoft/responsible-ai-toolbox,,widgets,26,True,raiwidgets,microsoft/responsible-ai-toolbox,,https://github.com/microsoft/responsible-ai-toolbox,2020-07-06 20:46:53.000,2022-05-18 23:35:10.000000,2022-05-18 17:29:16,1045.0,157.0,118.0,16.0,1179.0,50.0,207.0,486.0,2022-05-18 21:34:02.000,0.18.2,,11232.0,35.0,32.0,29.0,24.0,https://pypi.org/project/raiwidgets,MIT,2022-05-18 21:27:34.000,3.0,11232.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
63,Metakernel,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,26,True,metakernel,Calysto/metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,2014-08-24 20:53:45.000,2022-05-03 21:31:33.000000,2022-05-03 21:31:33,1121.0,9.0,76.0,19.0,106.0,28.0,113.0,280.0,2022-03-29 15:39:45.000,0.29.0,27.0,353842.0,92.0,77.0,,29.0,https://pypi.org/project/metakernel,BSD-3-Clause,2022-03-29 15:39:38.000,77.0,346144.0,https://anaconda.org/conda-forge/metakernel,2022-03-29 22:58:53.906,561691.0,1.0,,,,,,,,,,,,,,,,,,,,,,
64,jupyter-server-proxy,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,26,True,jupyter-server-proxy,jupyterhub/jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,2016-10-18 22:02:06.000,2022-04-25 19:13:00.000000,2022-03-29 17:33:31,787.0,8.0,108.0,16.0,183.0,64.0,92.0,228.0,2022-01-24 23:18:09.000,3.2.1,,1786381.0,27.0,93.0,4.0,62.0,https://pypi.org/project/jupyter-server-proxy,BSD-3-Clause,2022-01-24 23:18:09.000,89.0,1758348.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2022-01-25 03:13:58.218,659517.0,2.0,@jupyterlab/server-proxy,https://www.npmjs.com/package/@jupyterlab/server-proxy,2022-01-24 23:17:43.903,,11123.0,,,,,,,,,,,,,,,,,
65,ipycytoscape,A Cytoscape Jupyter widget.,https://github.com/cytoscape/ipycytoscape,,widgets,26,True,ipycytoscape,cytoscape/ipycytoscape,conda-forge/ipycytoscape,https://github.com/cytoscape/ipycytoscape,2020-02-05 13:46:52.000,2022-05-06 17:53:02.000000,2022-05-05 20:51:05,705.0,14.0,52.0,29.0,175.0,54.0,99.0,188.0,2022-04-04 22:26:36.000,1.3.3,3.0,9290.0,22.0,76.0,66.0,31.0,https://pypi.org/project/ipycytoscape,BSD-3-Clause,2022-04-04 22:26:36.000,10.0,7448.0,https://anaconda.org/conda-forge/ipycytoscape,2022-04-05 02:28:16.580,29309.0,2.0,jupyter-cytoscape,https://www.npmjs.com/package/jupyter-cytoscape,2022-04-04 22:06:25.396,,715.0,,,,,,,,,,,,,,,,,
66,nbgitpuller,Jupyter server extension to sync a git repository one-way to a local path.,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,26,True,nbgitpuller,jupyterhub/nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,2017-05-24 19:41:10.000,2022-04-20 12:15:27.000000,2022-03-30 02:22:18,479.0,23.0,60.0,11.0,140.0,57.0,78.0,159.0,2022-03-19 21:53:15.000,1.1.0,,9213.0,20.0,479.0,461.0,25.0,https://pypi.org/project/nbgitpuller,BSD-3-Clause,2022-03-19 21:53:15.000,18.0,8255.0,https://anaconda.org/conda-forge/nbgitpuller,2022-03-20 01:46:35.034,33551.0,2.0,,,,,,,,,,,,,,,,,,,,,,
67,fastpages,"An easy to use blogging platform, with enhanced support for Jupyter Notebooks.",https://github.com/fastai/fastpages,,notebook-tools,25,True,,fastai/fastpages,,https://github.com/fastai/fastpages,2020-02-03 05:19:46.000,2022-05-18 14:33:08.000000,2022-05-15 14:29:21,1200.0,10.0,721.0,41.0,319.0,20.0,305.0,3193.0,2020-09-05 21:53:23.000,2.1.6,,,9.0,136.0,136.0,55.0,,Apache-2.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
68,docker-python,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,25,True,,kaggle/docker-python,,https://github.com/Kaggle/docker-python,2015-04-14 01:45:38.000,2022-05-18 22:56:46.000000,2022-05-18 19:03:47,1991.0,32.0,789.0,88.0,866.0,23.0,271.0,2108.0,2022-05-12 02:23:30.000,2526686e2bde6b3af5288661aa6e5c0c5b470412eaf284a0017a4c73c6a9bd89,,2269.0,71.0,,,146.0,,Apache-2.0,,,,,,,3.0,,,,,,,kaggle/python,https://hub.docker.com/r/kaggle/python,2022-05-12 02:44:46.105354,161.0,192877.0,,,,,,,,,,,
69,ipycanvas,Interactive Canvas in Jupyter.,https://github.com/martinRenou/ipycanvas,,widgets,25,True,ipycanvas,martinRenou/ipycanvas,conda-forge/ipycanvas,https://github.com/martinRenou/ipycanvas,2019-07-06 12:55:29.000,2022-05-16 17:29:42.213000,2022-05-05 07:34:27,431.0,33.0,50.0,11.0,149.0,41.0,66.0,604.0,2022-05-03 07:59:11.987,0.12.0,,13611.0,31.0,556.0,535.0,17.0,https://pypi.org/project/ipycanvas,BSD-3-Clause,2022-05-03 07:57:48.000,20.0,10455.0,https://anaconda.org/conda-forge/ipycanvas,2022-05-16 17:29:42.213,53091.0,2.0,ipycanvas,https://www.npmjs.com/package/ipycanvas,2022-05-03 07:59:11.987,1.0,1497.0,,,,,,,,,,,,,,,,,
70,Enterprise Gateway,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across..",https://github.com/jupyter-server/enterprise_gateway,,kernels,25,True,jupyter_enterprise_gateway,jupyter/enterprise_gateway,conda-forge/jupyter_enterprise_gateway,https://github.com/jupyter-server/enterprise_gateway,2017-04-21 16:05:14.000,2022-05-18 19:25:53.000000,2022-05-18 19:25:53,1159.0,36.0,165.0,43.0,562.0,70.0,442.0,506.0,2022-01-27 22:17:10.000,2.6.0,16644.0,3322.0,29.0,1.0,,95.0,https://pypi.org/project/jupyter_enterprise_gateway,BSD-3-Clause,2020-04-27 23:19:05.000,1.0,1348.0,https://anaconda.org/conda-forge/jupyter_enterprise_gateway,2022-04-18 17:30:18.864,90333.0,1.0,,,,,,,,,,,,jupyter-server/enterprise_gateway,,,,,,,,,,
71,DockerSpawner,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,25,True,dockerspawner,jupyterhub/dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,2014-09-26 20:08:26.000,2022-04-11 21:25:39.000000,2022-04-06 08:59:19,622.0,6.0,277.0,25.0,203.0,15.0,236.0,422.0,2021-07-22 10:16:21.000,12.1.0,,6814.0,16.0,147.0,121.0,62.0,https://pypi.org/project/dockerspawner,BSD-3-Clause,2021-07-22 10:16:21.000,26.0,6554.0,https://anaconda.org/conda-forge/dockerspawner,2021-08-17 09:21:01.475,10921.0,2.0,,,,,,,,,,,,,,,,,,,,,,
72,nbval,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,25,True,nbval,computationalmodelling/nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,2015-04-09 09:40:33.000,2022-02-27 21:43:50.000000,2022-01-05 15:51:17,446.0,,42.0,11.0,84.0,35.0,61.0,381.0,2020-07-30 10:58:32.000,0.9.6,,92089.0,19.0,1655.0,1452.0,29.0,https://pypi.org/project/nbval,BSD-3-Clause,2020-07-30 10:58:32.000,203.0,88813.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985,199862.0,2.0,,,,,,,,,,,,,,,,,,,,,,
73,vega,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,25,True,vega,vega/ipyvega,conda-forge/vega,https://github.com/vega/ipyvega,2015-08-04 03:22:47.000,2022-05-01 03:38:16.000000,2022-05-01 03:38:15,579.0,18.0,59.0,31.0,324.0,12.0,82.0,330.0,2022-02-10 02:01:39.000,3.6.0,,12546.0,39.0,84.0,,11.0,https://pypi.org/project/vega,BSD-3-Clause,2022-02-10 02:01:39.000,84.0,5797.0,https://anaconda.org/conda-forge/vega,2022-02-10 13:26:24.004,479234.0,2.0,,,,,,,,,,,,,,,,,,,,,,
